episode,reward,execution_time
1,24.0,0.11
1,20.0,0.11
2,-4.0,0.14
3,32.0,0.11
3,66.0,0.11
4,58.0,0.11
4,48.0,0.11
4,62.0,0.11
5,30.0,0.11
5,38.0,0.11
6,64.0,0.11
6,70.0,0.11
7,60.0,0.11
7,76.0,0.11
7,72.0,0.11
8,78.0,0.11
8,50.0,0.11
9,70.0,0.11
9,76.0,0.11
10,78.0,0.11
10,62.0,0.11
11,78.0,0.12
11,68.0,0.12
11,72.0,0.12
12,66.0,0.11
12,64.0,0.11
13,78.0,0.12
13,76.0,0.12
13,46.0,0.12
14,38.0,0.11
14,58.0,0.11
15,28.0,0.11
15,54.0,0.11
16,48.0,0.11
16,68.0,0.11
17,58.0,0.11
18,78.0,0.12
18,78.0,0.12
19,78.0,0.12
19,74.0,0.12
19,64.0,0.12
20,50.0,0.11
20,86.0,0.11
21,66.0,0.11
21,76.0,0.11
22,50.0,0.11
22,84.0,0.11
22,26.0,0.11
23,60.0,0.11
23,46.0,0.11
23,68.0,0.11
24,82.0,0.11
24,58.0,0.11
25,62.0,0.14
25,78.0,0.14
25,44.0,0.14
26,80.0,0.12
26,64.0,0.12
27,68.0,0.12
28,66.0,0.14
28,80.0,0.14
28,62.0,0.14
29,72.0,0.12
29,50.0,0.12
30,58.0,0.11
30,74.0,0.11
30,48.0,0.11
31,68.0,0.11
31,28.0,0.11
32,78.0,0.15
32,80.0,0.15
32,64.0,0.15
33,66.0,0.13
33,72.0,0.13
33,70.0,0.13
34,50.0,0.12
34,56.0,0.12
35,62.0,0.13
35,24.0,0.13
35,54.0,0.13
36,66.0,0.12
36,76.0,0.12
37,70.0,0.12
37,62.0,0.12
38,74.0,0.12
38,30.0,0.12
38,66.0,0.12
39,46.0,0.12
39,50.0,0.12
40,66.0,0.11
0,68.0,0.11
41,68.0,0.11
41,66.0,0.11
42,62.0,0.11
42,54.0,0.11
42,64.0,0.11
43,70.0,0.13
43,60.0,0.13
43,70.0,0.13
44,72.0,0.12
44,66.0,0.12
44,74.0,0.12
45,78.0,0.12
45,60.0,0.12
45,42.0,0.12
46,64.0,0.14
46,16.0,0.14
46,70.0,0.14
47,84.0,0.12
47,34.0,0.12
48,66.0,0.12
48,52.0,0.12
49,66.0,0.11
49,78.0,0.11
50,38.0,0.12
50,42.0,0.12
51,60.0,0.12
51,50.0,0.12
52,48.0,0.12
53,72.0,0.12
53,12.0,0.12
54,82.0,0.11
54,24.0,0.11
54,24.0,0.11
55,60.0,0.11
55,76.0,0.11
56,70.0,0.11
56,56.0,0.11
57,66.0,0.11
57,74.0,0.11
58,74.0,0.12
58,64.0,0.12
59,66.0,0.13
59,60.0,0.13
60,60.0,0.12
60,72.0,0.12
60,6.0,0.12
61,62.0,0.12
61,78.0,0.12
62,62.0,0.13
63,60.0,0.12
63,66.0,0.12
64,74.0,0.11
64,72.0,0.11
65,70.0,0.12
66,24.0,0.11
66,70.0,0.11
66,66.0,0.11
67,62.0,0.12
68,34.0,0.12
68,56.0,0.12
69,72.0,0.11
69,62.0,0.11
70,60.0,0.11
70,46.0,0.11
71,66.0,0.11
71,14.0,0.11
71,30.0,0.11
72,16.0,0.11
72,68.0,0.11
72,72.0,0.11
73,44.0,0.12
73,20.0,0.12
73,24.0,0.12
74,64.0,0.11
74,72.0,0.11
75,72.0,0.12
75,48.0,0.12
75,66.0,0.12
76,68.0,0.12
76,68.0,0.12
77,10.0,0.12
78,62.0,0.12
78,52.0,0.12
