episode,reward,execution_time
1,-4.0,0.11

2,-10.0,0.1
2,-16.0,0.1
2,18.0,0.1
3,-18.0,0.12
3,-14.0,0.12
3,-10.0,0.12
4,-30.0,0.12
4,-52.0,0.12
4,-4.0,0.12
4,-18.0,0.12
5,8.0,0.11

5,-66.0,0.11
6,4.0,0.12

6,20.0,0.12
7,-58.0,0.12
7,-16.0,0.12
7,-38.0,0.12
8,8.0,0.11

8,-16.0,0.11
9,-22.0,0.12
9,-2.0,0.12
9,-8.0,0.12
9,-16.0,0.12
10,8.0,0.12

10,-34.0,0.12
10,2.0,0.12
11,-18.0,0.1211,-44.0,0.12
11,-16.0,0.12
12,-8.0,0.11
12,-16.0,0.11
13,8.0,0.11

13,-6.0,0.11
14,-28.0,0.1
14,-8.0,0.1

15,-42.0,0.11
15,-52.0,0.11
16,-18.0,0.12
16,-20.0,0.12
17,-24.0,0.1
18,-10.0,0.11
18,-32.0,0.11
19,-6.0,0.1

19,-12.0,0.1
20,-36.0,0.12
20,-26.0,0.12
20,-50.0,0.12
21,-24.0,3.89
22,-22.0,0.12
22,-22.0,0.12
22,-48.0,0.12
23,16.0,0.11
23,26.0,0.11
24,-36.0,0.1
24,18.0,0.1
25,0.0,0.1
25,-40.0,0.1
26,12.0,0.11
26,2.0,0.11
26,-16.0,0.11
27,-22.0,0.11
27,-34.0,0.11
27,6.0,0.11
28,-22.0,0.11
28,12.0,0.11

29,0.0,0.11

29,-20.0,0.11
30,-8.0,0.11

30,4.0,0.11

31,-32.0,0.11
1,18.0,0.11
32,6.0,0.11

32,14.0,0.11
33,42.0,0.11

33,-6.0,0.11
33,58.0,0.11
34,-40.0,0.11
35,-4.0,0.11
35,0.0,0.11
36,-32.0,0.13
36,8.0,0.13
36,-4.0,0.13
36,-8.0,0.13
37,38.0,0.11
37,-20.0,0.11
38,-30.0,0.12
38,4.0,0.12
39,22.0,0.11

39,14.0,0.11
40,2.0,0.14

40,12.0,0.14
41,4.0,4.18
41,-10.0,4.18
41,-14.0,4.18
42,-28.0,0.1
42,-8.0,0.1
43,24.0,0.11
43,10.0,0.11
44,26.0,0.11
44,12.0,0.11
45,6.0,0.11


45,48.0,0.11
46,-18.0,0.11
46,-6.0,0.11
46,-18.0,0.11
47,-22.0,0.11
47,28.0,0.11
48,-2.0,0.11
48,4.0,0.11

49,30.0,0.11
49,18.0,0.11
50,48.0,0.1
50,6.0,0.1
51,38.0,0.11
51,30.0,0.11
51,12.0,0.12
52,4.0,0.11

53,14.0,0.15
53,20.0,0.15
54,-50.0,0.12
54,10.0,0.12
55,42.0,0.13

56,40.0,0.11
56,50.0,0.11
57,6.0,0.11

57,46.0,0.11
58,4.0,0.21


58,24.0,0.21
59,4.0,0.12

59,4.0,0.12
60,18.0,0.11

60,20.0,0.11
61,38.0,0.12
61,36.0,0.12
61,14.0,0.12
62,38.0,4.17
62,16.0,4.17
62,10.0,4.17
63,36.0,0.11
63,42.0,0.11
64,58.0,0.12

64,60.0,0.12
64,26.0,0.12
65,52.0,0.12
65,46.0,0.12
65,56.0,0.12
66,30.0,0.12
66,8.0,0.12
67,42.0,0.12
67,-4.0,0.12
67,68.0,0.12
68,48.0,0.12
68,38.0,0.12
68,12.0,0.12
69,42.0,0.12
69,38.0,0.12
69,64.0,0.12
70,30.0,0.12
70,16.0,0.12
71,40.0,0.1
71,30.0,0.1
72,46.0,0.11
72,-12.0,0.11
73,60.0,0.12
73,12.0,0.12
73,48.0,0.12
74,16.0,0.11
74,28.0,0.11
74,14.0,0.11
74,52.0,0.11
75,48.0,0.12
75,40.0,0.12
76,22.0,0.13
76,6.0,0.13
76,32.0,0.13
77,34.0,0.13
77,4.0,0.13
77,-12.0,0.13
78,26.0,0.12
78,8.0,0.12

79,38.0,0.1
79,4.0,0.1
80,50.0,0.12
80,-18.0,0.12
81,56.0,0.12
81,20.0,0.12
81,42.0,0.12
82,12.0,4.06
83,74.0,0.12
83,42.0,0.12
84,30.0,0.12
85,44.0,0.13
85,24.0,0.13
85,4.0,0.13
86,26.0,0.13
86,74.0,0.13
86,44.0,0.13
87,36.0,0.12
87,62.0,0.12
88,58.0,0.11

88,54.0,0.11
89,12.0,0.11
89,70.0,0.11
90,20.0,0.12
90,20.0,0.12
91,30.0,0.12
91,36.0,0.12
91,34.0,0.12
92,68.0,0.13
92,50.0,0.13
93,60.0,0.13
93,82.0,0.12
93,74.0,0.13
94,44.0,0.12
94,56.0,0.12
94,54.0,0.12
95,12.0,0.13
95,58.0,0.13
95,52.0,0.13
96,74.0,0.13
96,16.0,0.13
97,46.0,0.14
97,76.0,0.14
97,72.0,0.14
98,60.0,0.13
98,70.0,0.13
98,38.0,0.13
99,72.0,0.13
99,66.0,0.13
99,-12.0,0.13
100,40.0,0.13
100,46.0,0.13
100,44.0,0.13
101,48.0,0.13
101,42.0,0.13
101,-20.0,0.13
102,24.0,0.14
102,28.0,0.14
103,-24.0,4.26
103,82.0,4.26
103,18.0,4.26
104,24.0,0.12
104,20.0,0.12
104,50.0,0.12
104,74.0,0.12
105,46.0,0.12
105,6.0,0.12

106,52.0,0.12
106,74.0,0.12
106,-16.0,0.12
107,20.0,0.12
107,-10.0,0.12
107,62.0,0.12
108,90.0,0.12
108,74.0,0.12
109,52.0,0.11
109,74.0,0.11
109,54.0,0.11
109,78.0,0.11
110,80.0,0.12
110,50.0,0.12
110,32.0,0.12
110,78.0,0.12
111,62.0,0.12
111,44.0,0.12
111,18.0,0.12
111,44.0,0.12
112,-4.0,0.12
112,26.0,0.12
113,60.0,0.12
113,-6.0,0.12
113,56.0,0.12
114,80.0,0.11
114,68.0,0.11
115,58.0,0.12
115,32.0,0.12
115,6.0,0.12
116,50.0,0.12
116,76.0,0.12
117,88.0,0.12
117,72.0,0.12
117,52.0,0.12
118,68.0,0.12
119,84.0,0.11
120,58.0,0.11
121,20.0,0.12
121,30.0,0.12
122,44.0,0.1
122,62.0,0.1
123,50.0,4.37
123,12.0,4.37
124,34.0,0.12
124,46.0,0.12
124,80.0,0.12
125,44.0,0.13
126,86.0,0.12
126,60.0,0.12
127,48.0,0.16
