episode,reward,execution_time
1,-74.0,0.08
1,-46.0,0.08
1,-30.0,0.08
1,-42.0,0.08
2,-36.0,0.08
2,-62.0,0.08
3,-74.0,0.08
3,-80.0,0.08
3,-28.0,0.08
4,12.0,0.08

4,-78.0,0.08
4,-32.0,0.08
5,4.0,0.08

5,-30.0,0.08
5,-28.0,0.08
6,-24.0,0.07
7,0.0,0.07

8,-22.0,0.07
8,-22.0,0.07
8,-34.0,0.07
9,-42.0,0.07
9,-24.0,0.07
10,-14.0,0.07
10,-24.0,0.07
10,-78.0,0.07
10,-44.0,0.07
11,-4.0,0.07
11,2.0,0.07
11,-22.0,0.07
12,2.0,0.08

12,-12.0,0.08
13,22.0,0.08
13,-22.0,0.08
13,-16.0,0.08
14,42.0,0.08
14,-14.0,0.08
14,12.0,0.08
14,-38.0,0.08
15,-20.0,0.08
15,-14.0,0.08
16,-40.0,0.07
16,26.0,0.07
16,2.0,0.07
16,52.0,0.07
17,-18.0,0.08
17,22.0,0.08
17,-28.0,0.08
17,-20.0,0.08
18,-30.0,0.08
18,20.0,0.08
18,44.0,0.08
19,2.0,0.08

19,-18.0,0.08
20,-22.0,0.08
20,4.0,0.08

21,32.0,0.08
21,8.0,0.08
21,-8.0,0.08
22,12.0,0.08
22,-22.0,0.08
22,50.0,0.08
22,12.0,0.08
23,34.0,0.08

23,44.0,0.07
23,2.0,0.07
24,64.0,0.07
24,-38.0,0.07
24,14.0,0.07
25,40.0,0.07
25,36.0,0.07
26,54.0,0.07
26,-22.0,0.07
26,22.0,0.08
27,30.0,0.08
27,44.0,0.08
27,60.0,0.08
27,22.0,0.08
28,22.0,0.07
28,30.0,0.08
28,56.0,0.08
28,-8.0,0.08
29,20.0,0.08
29,44.0,0.08
29,40.0,0.08
30,36.0,0.08
30,14.0,0.08
31,12.0,0.07
31,36.0,0.07
32,-16.0,0.08
32,48.0,0.08
32,44.0,0.08
33,72.0,0.08
33,56.0,0.08
33,64.0,0.08
33,30.0,0.08
34,42.0,0.07
34,4.0,0.07
35,56.0,0.08
35,44.0,0.08
35,44.0,0.08
36,66.0,0.08
36,38.0,0.08
36,58.0,0.08
37,50.0,0.08
37,88.0,0.08
37,62.0,0.08
37,56.0,0.08
38,34.0,0.08
38,22.0,0.08
38,38.0,0.08
38,66.0,0.08
39,66.0,0.08
39,44.0,0.08
39,70.0,0.08
40,40.0,0.08
40,64.0,0.08
40,46.0,0.08
41,44.0,0.07
41,52.0,0.07
41,62.0,0.07
42,44.0,0.08
42,34.0,0.08
42,62.0,0.08
43,58.0,0.08
43,70.0,0.08
44,68.0,0.09
44,78.0,0.09
45,48.0,0.08
45,70.0,0.08
46,52.0,0.07
46,30.0,0.07
46,26.0,0.07
47,70.0,0.08
47,78.0,0.08
47,36.0,0.08
48,68.0,0.08
48,70.0,0.08
48,0.0,0.08

49,32.0,0.08
49,56.0,0.08
49,0.0,0.08
49,54.0,0.08
50,66.0,0.08
50,56.0,0.08
50,46.0,0.08
51,18.0,0.08
51,66.0,0.08
51,56.0,0.08
52,14.0,0.08
52,70.0,0.08
53,-8.0,0.08
53,40.0,0.08
54,66.0,0.08
54,68.0,0.08
55,66.0,0.08
55,72.0,0.08
55,58.0,0.08
56,80.0,0.08
57,4.0,0.09

57,86.0,0.09
57,32.0,0.09
58,64.0,0.08
58,66.0,0.08
58,48.0,0.08
59,64.0,0.08
59,50.0,0.08
60,66.0,0.08
60,72.0,0.08
60,18.0,0.08
60,36.0,0.08
61,60.0,0.08
61,2.0,0.08
61,54.0,0.08
62,60.0,0.08
62,70.0,0.08
62,68.0,0.08
63,56.0,0.08
64,14.0,0.08
64,76.0,0.08
65,46.0,0.08
65,12.0,0.08
66,76.0,0.07
66,70.0,0.07
66,50.0,0.07
67,78.0,0.08

67,62.0,0.08
68,30.0,0.08
68,78.0,0.08
68,28.0,0.08
68,82.0,0.08
69,62.0,0.08
69,70.0,0.08
69,74.0,0.08
70,34.0,0.08
70,76.0,0.08
70,68.0,0.08
70,46.0,0.08
71,38.0,0.07
72,24.0,0.08
72,54.0,0.08
72,60.0,0.08
73,6.0,0.08

73,46.0,0.08
74,56.0,0.08
74,66.0,0.08
74,54.0,0.08
75,56.0,0.08
75,72.0,0.08
75,70.0,0.08
76,52.0,0.07
76,26.0,0.07
77,16.0,0.07
78,78.0,0.07
78,60.0,0.07
78,50.0,0.07
79,76.0,0.08
79,64.0,0.08
80,74.0,0.08
81,66.0,0.07
81,48.0,0.07
82,68.0,0.07
82,56.0,0.07
82,56.0,0.07
82,72.0,0.07
83,64.0,0.08
83,70.0,0.08
84,62.0,0.08
84,68.0,0.08
84,70.0,0.08
84,44.0,0.08
85,56.0,0.08
85,50.0,0.08
85,52.0,0.08
86,66.0,0.08
86,-4.0,0.08
87,76.0,0.09
88,56.0,0.09
88,46.0,0.09
88,68.0,0.09
89,22.0,0.09
89,60.0,0.09
90,72.0,0.07
91,8.0,0.09

91,86.0,0.09
92,56.0,0.09
92,72.0,0.09
93,56.0,0.11
94,68.0,0.1
94,52.0,0.1
95,60.0,0.1
96,44.0,0.07
97,78.0,0.08
97,70.0,0.07
97,44.0,0.07
97,36.0,0.07
98,74.0,0.08
98,66.0,0.08
99,68.0,0.08
99,76.0,0.08
100,74.0,0.08
100,56.0,0.08
100,40.0,0.08
100,48.0,0.08
101,48.0,0.07
102,52.0,0.07
102,8.0,0.07
103,74.0,0.08
103,66.0,0.08
103,46.0,0.08
104,38.0,0.08
104,84.0,0.08
105,78.0,0.08
105,44.0,0.08
105,48.0,0.08
105,72.0,0.08
106,34.0,0.07
106,70.0,0.07
106,74.0,0.07
107,78.0,0.08
107,70.0,0.08
108,74.0,0.08
108,72.0,0.08
109,50.0,0.08
109,84.0,0.08
110,74.0,0.07
110,68.0,0.07
111,62.0,0.07
111,58.0,0.07
112,78.0,0.07
112,60.0,0.07
112,76.0,0.07
113,70.0,0.08
113,82.0,0.08
114,46.0,0.08
114,66.0,0.08
114,54.0,0.08
115,52.0,0.07
115,48.0,0.07
115,58.0,0.07
116,40.0,0.07
116,62.0,0.07
