INFO:root:[Init] Env: karmada_gym | Version 0.0.1 |
INFO:root:[Init] Action Space: Discrete(6)
INFO:root:[Init] Observation Space: Box(0.0, 1.0, (5, 8), float32)
INFO:root:[Init] Resources:
INFO:root:[Init] CPU Capacity: [3 2 3 3]
INFO:root:[Init] CPU allocated: [0.17518324 0.05877679 0.18207755 0.1784477 ]
INFO:root:[Init] CPU free: [2.82481676 1.94122321 2.81792245 2.8215523 ]
INFO:root:[Init] MEM Capacity: [3 3 4 3]
INFO:root:[Init] MEM allocated: [0.06220601 0.09601399 0.06574635 0.14322802]
INFO:root:[Init] MEM free: [2.93779399 2.90398601 3.93425365 2.85677198]
INFO:root:[Step 1] | Action: All-cluster-INFO:root:[Take Action] Block theINFO:root:[Step 2] | Action: Divide | Reward: 1 | Total Reward: 2
INFO:roINFO:root:[Step 3] | Action: Divide | Reward: 1 | Total Reward: 3
IINFO:root:[Step 4] | Action: All-cluster-4 | Reward: -1 | Total RewINFO:root:[Step 5] | Action: Reject | Reward: -1 | Total Reward: 1
INFO:root:[Step 6] | Action: All-cluster-1 | Reward: -1 | Total Reward: 0
INFO:root:[Step 7] | Action: All-cluster-1 | Reward: -1 | Total Reward: -1
INFO:root:INFO:root:[Step 8] | Action: Divide | Reward: 1 | Total Reward: -2INFO:root:[Step 9] | Action: All-cluster-3 | Reward: -1 | Total Reward: -3
IINFO:root:[Step 10] | Action: All-cluster-1 | Reward: 1 | Total RewarINFO:root:[Step 11] | Action: All-cluster-1 | Reward: -1 | Total Reward: -5
INFO:root:[Step 12] | Action: Reject | Reward: -1 | Total Reward: -6
INFO:root:[Step 13] | Action: All-cluster-3 | Reward: -1 | Total Reward: -7
INFO:root:[Step 14] | Action: All-cluster-2 | Reward: -1 | Total Reward: -8
INFO:root:[Step 15] | Action: Divide | Reward: 1 | Total Reward: -7
INFO:root:[Step 16] | Action: Divide | Reward: 1 | Total Reward: -6
INFO:root:[Step 17] | Action: All-cluster-1 | Reward: 1 | Total Reward: -5
INFO:root:[Check]: Cluster 4 is full...
INFO:root:[Take Action] Block the selected action since cluster will be full!
INFO:root:[Step 18] | Action: All-cluster-4 | Reward: -1 | Total Reward: -6
INFO:root:[Step 19] | Action: Divide | Reward: 1 | Total Reward: -5
INFO:root:[Step 20] | Action: All-cluster-1 | Reward: 1 | Total Reward: -4
INFO:root:[Step 21] | Action: All-cluster-2 | Reward: 1 | Total Reward: -3
INFO:root:[Step 22] | Action: All-cluster-3 | Reward:INFO:root:[Step 22] | AINFO:root:[Step 23] | Action: All-cluster-4 | Reward: 1 | Total Reward: -1
INFO:root:[Step 24] | Action: Divide | Reward: 1 | Total Reward: 0
INFO:root:[Step 25] | Action: All-cluster-3 | Reward: 1 | Total Reward: 1
INFO:root:[Step 26] | Action: Reject | Reward: -1 | Total Reward: 0
INFO:root:[Step 27] | Action: All-cluster-2 | Reward: -1 | Total Reward: -1
INFO:root:[Step 28] | Action: All-cluster-4 | Reward: -1 | Total Reward: -2
INFO:root:[Step 29] | Action: All-cluster-1 | Reward: -1 | Total Reward: -3
INFO:root:[Step 30] | Action: All-cluster-1 | Reward: -1 | Total Reward: -4
INFO:root:[Step 31] | Action: Reject | Reward: -1 | Total Reward: -5
INFO:root:[Step 32] | Action: All-cluster-4 | Reward: -1 | Total Reward: -6
INFO:root:[Step 33] | Action: Reject | Reward: -1 | Total Reward: -7
INFO:root:[Step 34] | Action: Reject | Reward: -1 | Total Reward: -8
INFO:root:[Step 35] | Action: Reject | Reward: -1 | Total Reward: -9
INFO:root:[Step 36] | Action: All-cluster-1 | Reward: -1 | Total Reward: -10
INFO:root:[Step 37] | Action: All-cluster-4 | Reward: -1 | Total Reward: -11
INFO:root:[Step 38] | Action: All-cluster-2 | Reward: -1 | Total Reward: -12
INFO:root:[Step 39] | Action: All-cluster-4 | Reward: -1 | Total Reward: -13
INFO:root:[Step 40] | Action: All-cluster-4 | Reward: -1 | Total Reward: -14
INFO:root:[Step 41] | Action: Divide | Reward: 1 | Total Reward: -13
INFO:root:[Step 42] | Action: Reject | Reward: -1 | Total Reward: -14
INFO:root:[Step 43] | Action: All-cluster-3 | Reward: -1 | Total Reward: -15
INFO:root:[Step 44] | Action: All-cluster-3 | Reward: -1 | Total Reward: -16
INFO:root:[Step 45] | Action: Reject | Reward: -1 | Total Reward: -17
INFO:root:[Step 46] | Action: All-cluster-3 | Reward: -1 | Total Reward: -18
INFO:root:[Step 47] | Action: All-cluster-4 | Reward: -1 | Total Reward: -19
INFO:root:[Step 48] | Action: All-cluster-3 | Reward: -1 | Total Reward: -20
INFO:root:[Step 49] | Action: All-cluster-3 | Reward: -1 | Total Reward: -21
INFO:root:[Step 50] | Action: Reject | Reward: -1 | Total Reward: -22
INFO:root:[Step 51] | Action: All-cluster-3 | Reward: -1 | Total Reward: -23
INFO:root:[Step 52] | Action: All-cluster-1 | Reward: -1 | Total Reward: -24
INFO:root:[Step 53] | Action: All-cluster-2 | Reward: -1 | Total Reward: -25
INFO:root:[Step 54] | Action: All-cluster-2 | Reward: -1 | Total Reward: -26
INFO:root:[Step 55] | Action: Reject | Reward: -1 | Total Reward: -27
INFO:root:[Step 56] | Action: All-cluster-3 | Reward: -1 | Total Reward: -28
INFO:root:[Step 57] | Action: All-cluster-2 | Reward: -1 | Total Reward: -29
INFO:root:[Step 58] | Action: All-cluster-1 | Reward: -1 | Total Reward: -30
INFO:root:[Step 59] | Action: All-cluster-1 | Reward: -1 | Total Reward: -31
INFO:root:[Step 60] | Action: All-cluster-4 | Reward: -1 | Total Reward: -32
INFO:root:[Step 61] | Action: Reject | Reward: -1 | Total Reward: -33
INFO:root:[Step 62] | Action: All-cluster-3 | Reward: -1 | Total Reward: -34
INFO:root:[Step 63] | Action: Divide | Reward: 1 | Total Reward: -33
INFO:root:[Step 64] | Action: Reject | Reward: -1 | Total Reward: -34
INFO:root:[Step 65] | Action: Reject | Reward: -1 | Total Reward: -35
INFO:root:[Step 66] | Action: All-cluster-3 | Reward: -1 | Total Reward: -36
INFO:root:[Step 67] | Action: Divide | Reward: 1 | Total Reward: -35
INFO:root:[Step 68] | Action: Reject | Reward: -1 | Total Reward: -36
INFO:root:[Step 69] | Action: Reject | Reward: -1 | Total Reward: -37
INFO:root:[Step 70] | Action: All-cluster-2 | Reward: -1 | Total Reward: -38
INFO:root:[Step 71] | Action: All-cluster-3 | Reward: -1 | Total Reward: -39
INFO:root:[Step 72] | Action: All-cluster-3 | Reward: -1 | Total Reward: -40
INFO:root:[Step 73] | Action: All-cluster-2 | Reward: -1 | Total Reward: -41
INFO:root:[Step 74] | Action: Reject | Reward: -1 | Total Reward: -42
INFO:root:[Step 75] | Action: Reject | Reward: -1 | Total Reward: -43
INFO:root:[Step 76] | Action: Divide | Reward: 1 | Total Reward: -42
INFO:root:[Step 77] | Action: All-cluster-2 | Reward: 1 | Total Reward: -41
INFO:root:[Step 78] | Action: All-cluster-2 | Reward: 1 | Total Reward: -40
INFO:root:[Step 79] | Action: All-cluster-3 | Reward: 1 | Total Reward: -39
