episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,831.74,0.29,71.0,70.03,3.88,0.13
2,390.0,0.12,88.0,83.76,11.43,0.12
3,581.84,0.2,80.0,57.06,8.48,0.13
4,838.69,0.05,95.0,86.82,7.12,0.13
5,533.53,0.09,91.0,39.68,10.04,0.12
6,755.33,0.21,79.0,50.86,6.17,0.11
7,1022.26,0.26,74.0,66.7,1.83,0.11
8,911.0,0.18,82.0,69.62,4.67,0.11
9,408.17,0.09,91.0,55.43,11.42,0.11
10,506.0,0.14,86.0,49.0,9.95,0.12
11,733.34,0.05,95.0,46.4,8.23,0.12
12,838.0,0.11,89.0,72.72,6.46,0.12
13,1314.0,0.02,98.0,54.12,2.57,0.12
14,370.0,0.07,93.0,44.29,11.95,0.11
15,625.27,0.03,97.0,74.32,9.52,0.11
16,1032.0,0.12,88.0,68.75,4.14,0.12
17,628.0,0.17,83.0,50.64,8.23,0.12
18,868.43,0.34,66.0,65.42,2.33,0.11
19,1194.0,0.04,96.0,34.06,3.52,0.12
20,1061.75,0.24,76.0,38.81,1.71,0.11
21,1109.0,0.19,81.0,54.23,2.07,0.11
22,444.0,0.03,97.0,44.41,11.39,0.13
23,1306.54,0.07,93.0,23.34,1.88,0.12
24,540.0,0.0,100.0,72.62,10.6,0.12
25,1260.79,0.03,97.0,36.14,2.97,0.12
26,873.42,0.04,96.0,46.34,6.86,0.12
27,637.5,0.25,75.0,49.63,7.17,0.14
28,887.6,0.02,98.0,47.57,6.92,0.14
29,907.0,0.05,95.0,80.38,6.4,0.14
30,1113.5,0.02,98.0,31.2,4.62,0.14
31,443.0,0.13,87.0,61.74,10.76,0.11
32,865.0,0.03,97.0,39.34,7.05,0.12
33,194.0,0.02,98.0,59.6,14.0,0.12
34,1162.0,0.07,93.0,64.61,3.43,0.11
35,1265.17,0.0,100.0,57.21,3.35,0.12
36,1185.33,0.0,100.0,39.73,4.15,0.12
37,1168.0,0.05,95.0,56.84,3.65,0.12
38,1115.0,0.19,81.0,44.85,2.0,0.11
39,609.0,0.03,97.0,19.01,9.69,0.12
40,938.0,0.0,100.0,55.9,6.62,0.13
41,1237.5,0.03,97.0,43.84,3.21,0.11
42,971.5,0.03,97.0,37.9,5.95,0.12
43,890.0,0.02,98.0,67.57,6.9,0.12
44,1203.0,0.01,99.0,45.18,3.84,0.11
45,926.0,0.06,94.0,38.53,6.09,0.11
46,1091.4,0.06,94.0,45.28,4.33,0.11
47,572.0,0.02,98.0,60.59,10.14,0.11
48,506.0,0.02,98.0,25.94,10.82,0.12
49,452.0,0.17,83.0,56.48,10.35,0.11
50,994.0,0.17,83.0,56.54,3.82,0.11
51,756.0,0.18,82.0,66.04,6.56,0.11
52,1030.57,0.06,94.0,53.21,4.97,0.12
53,843.0,0.01,99.0,63.75,7.47,0.12
54,720.0,0.0,100.0,50.27,8.8,0.12
55,1100.0,0.0,100.0,53.81,5.0,0.11
56,1247.2,0.02,98.0,48.93,3.25,0.12
57,344.0,0.0,100.0,61.09,12.56,0.12
58,820.75,0.22,78.0,48.53,5.2,0.12
59,907.0,0.02,98.0,58.49,6.72,0.13
60,967.0,0.24,76.0,68.3,2.96,0.12
61,415.0,0.05,95.0,63.69,11.58,0.11
62,1144.0,0.1,90.0,53.05,3.18,0.11
63,1134.0,0.14,86.0,79.94,2.65,0.13
64,1127.0,0.13,87.0,80.62,2.9,0.11
65,733.0,0.01,99.0,29.55,8.59,0.11
66,1074.0,0.24,76.0,74.53,1.55,0.11
67,900.0,0.09,91.0,35.07,6.01,0.12
68,953.67,0.19,81.0,76.87,3.99,0.12
69,1166.0,0.2,80.0,67.62,1.18,0.12
70,913.0,0.01,99.0,48.45,6.77,0.12
71,1112.0,0.0,100.0,21.54,4.88,0.11
72,481.0,0.01,99.0,40.84,11.13,0.11
73,799.0,0.22,78.0,48.17,5.47,0.11
74,642.0,0.12,88.0,90.55,8.57,0.12
75,910.0,0.02,98.0,65.09,6.69,0.12
76,827.6,0.02,98.0,28.02,7.53,0.11
77,602.0,0.0,100.0,38.02,9.98,0.12
78,508.0,0.0,100.0,52.82,10.92,0.13
79,745.0,0.05,95.0,23.33,8.11,0.15
80,1241.0,0.01,99.0,45.99,3.45,0.12
81,958.0,0.29,71.0,53.21,2.1,0.12
82,977.0,0.3,70.0,64.62,1.61,0.11
83,520.0,0.0,100.0,63.17,10.8,0.12
84,1144.0,0.02,98.0,50.89,4.31,0.12
85,1064.0,0.02,98.0,46.18,5.12,0.12
86,1247.0,0.03,97.0,61.15,3.11,0.12
87,851.0,0.13,87.0,82.74,6.07,0.12
88,612.0,0.17,83.0,56.52,8.42,0.11
89,736.0,0.0,100.0,37.29,8.64,0.12
90,1372.0,0.02,98.0,28.81,1.98,0.13
91,1202.5,0.01,99.0,27.19,3.84,0.12
92,1047.0,0.14,86.0,74.11,3.66,0.12
93,1080.0,0.01,99.0,18.82,5.08,0.12
94,959.0,0.02,98.0,54.83,6.19,0.11
95,1060.0,0.22,78.0,56.26,2.13,0.12
96,231.0,0.09,91.0,69.8,13.36,0.12
97,594.0,0.09,91.0,67.11,9.37,0.16
98,947.67,0.01,99.0,60.27,6.42,0.18
99,870.0,0.08,92.0,35.34,6.46,0.14
100,605.0,0.1,90.0,48.37,9.17,0.12
101,1212.0,0.04,96.0,63.35,3.33,0.12
102,1014.0,0.19,81.0,43.44,3.25,0.12
103,1037.0,0.14,86.0,47.76,3.78,0.11
104,938.0,0.0,100.0,72.41,6.62,0.12
105,588.0,0.15,85.0,53.09,8.91,0.12
106,1198.0,0.16,84.0,77.84,1.55,0.11
107,391.0,0.1,90.0,83.96,11.54,0.12
108,729.67,0.25,75.0,74.7,5.94,0.11
109,1014.0,0.0,100.0,60.02,5.86,0.13
110,1089.0,0.18,82.0,111.08,2.5,0.12
111,863.0,0.01,99.0,65.6,7.27,0.14
