episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1.0,895.31,0.23,77.0,70.48,4.07,0.34
2.0,526.28,0.17,83.0,73.74,9.45,0.31
3.0,846.64,0.28,72.0,60.08,3.85,0.31
4.0,367.0,0.13,87.0,49.33,11.63,0.33
5.0,793.62,0.28,72.0,48.19,4.59,0.3
6.0,720.0,0.2,80.0,79.71,6.75,0.26
7.0,718.76,0.15,85.0,45.18,7.37,0.41
8.0,678.0,0.26,74.0,69.26,6.49,0.3
9.0,402.0,0.22,78.0,112.46,10.56,0.26
10.0,907.6,0.21,79.0,81.18,4.25,0.32
11.0,309.0,0.27,73.0,96.62,11.4,0.28
12.0,601.74,0.23,77.0,40.41,7.89,0.29
13.0,647.2,0.2,80.0,55.67,7.66,0.26
14.0,843.88,0.26,74.0,77.56,4.24,0.26
15.0,654.08,0.21,79.0,96.26,7.45,0.27
16.0,341.0,0.21,79.0,87.33,11.42,0.25
17.0,1046.77,0.19,81.0,60.3,2.84,0.26
18.0,1099.55,0.16,84.0,51.78,2.72,0.25
19.0,750.11,0.2,80.0,73.81,6.37,0.3
20.0,636.02,0.14,86.0,136.51,8.44,0.26
21.0,652.04,0.15,85.0,75.59,8.15,0.25
22.0,388.7,0.22,78.0,66.25,10.73,0.27
23.0,931.93,0.17,83.0,50.02,4.57,0.29
24.0,772.4,0.14,86.0,69.91,6.86,0.26
25.0,915.64,0.17,83.0,73.06,4.76,0.25
26.0,362.65,0.25,75.0,74.68,10.83,0.25
27.0,691.26,0.19,81.0,71.48,7.23,0.25
28.0,470.4,0.24,76.0,54.74,9.49,0.28
29.0,581.91,0.23,77.0,90.34,8.14,0.25
30.0,601.81,0.2,80.0,83.85,8.23,0.25
31.0,874.51,0.26,74.0,110.04,3.83,0.24
32.0,612.6,0.15,85.0,66.67,8.62,0.29
33.0,992.0,0.16,84.0,34.53,4.0,0.27
34.0,567.83,0.21,79.0,53.21,8.55,0.27
35.0,953.46,0.16,84.0,36.05,4.46,0.29
36.0,305.0,0.23,77.0,59.24,11.74,0.27
37.0,971.04,0.15,85.0,58.48,4.4,0.26
38.0,1013.88,0.27,73.0,93.57,1.74,0.28
39.0,967.17,0.12,88.0,81.48,4.87,0.27
40.0,700.6,0.19,81.0,61.39,7.12,0.27
41.0,864.75,0.17,83.0,97.61,5.38,0.27
42.0,849.85,0.24,76.0,94.02,4.5,0.28
43.0,732.0,0.24,76.0,126.48,6.05,0.26
44.0,475.81,0.24,76.0,65.07,9.42,0.25
45.0,993.82,0.25,75.0,40.02,2.42,0.24
46.0,552.9,0.22,78.0,65.52,8.63,0.26
47.0,342.0,0.14,86.0,79.23,11.86,0.27
48.0,447.81,0.28,72.0,96.41,9.39,0.24
49.0,514.16,0.21,79.0,64.37,9.23,0.25
50.0,558.22,0.24,76.0,67.94,8.34,0.27
51.0,374.0,0.22,78.0,90.54,10.92,0.29
52.0,970.57,0.2,80.0,124.45,3.62,0.26
53.0,713.0,0.27,73.0,39.21,5.86,0.26
54.0,1141.32,0.16,84.0,94.29,2.22,0.26
55.0,280.0,0.2,80.0,83.74,12.25,0.26
56.0,570.06,0.18,82.0,69.39,8.83,0.27
57.0,457.78,0.22,78.0,111.09,9.85,0.29
58.0,123.0,0.27,73.0,71.79,13.95,0.27
59.0,617.78,0.2,80.0,57.79,8.03,0.26
60.0,667.14,0.13,87.0,51.46,8.18,0.26
61.0,753.0,0.19,81.0,108.23,6.47,0.26
62.0,589.42,0.18,82.0,41.51,8.59,0.27
63.0,1001.46,0.17,83.0,72.18,3.73,0.25
64.0,907.92,0.18,82.0,96.81,4.71,0.27
65.0,657.03,0.19,81.0,65.85,7.65,0.26
66.0,228.0,0.2,80.0,62.58,12.9,0.25
67.0,301.0,0.19,81.0,108.49,12.05,0.25
68.0,515.93,0.19,81.0,99.53,9.4,0.28
69.0,694.0,0.18,82.0,77.14,7.32,0.27
70.0,549.04,0.16,84.0,79.22,9.27,0.26
71.0,514.28,0.15,85.0,72.07,9.77,0.26
72.0,565.75,0.17,83.0,52.35,8.98,0.28
73.0,535.4,0.23,77.0,72.04,8.75,0.31
74.0,395.99,0.16,84.0,45.59,11.1,0.29
75.0,616.0,0.16,84.0,61.72,8.48,0.27
76.0,811.99,0.26,74.0,135.8,4.68,0.25
78.0,468.0,0.12,88.0,81.21,10.55,0.27
79.0,773.31,0.27,73.0,104.98,5.04,0.26
80.0,634.2,0.17,83.0,103.88,8.15,0.27
81.0,441.53,0.15,85.0,49.65,10.63,0.27
82.0,1059.78,0.19,81.0,60.02,2.68,0.32
83.0,891.16,0.16,84.0,90.65,5.2,0.32
84.0,758.0,0.2,80.0,90.73,6.28,0.27
85.0,433.82,0.23,77.0,68.48,10.07,0.31
86.0,590.81,0.18,82.0,71.12,8.58,0.28
87.0,1066.08,0.17,83.0,85.12,2.95,0.2
88.0,555.15,0.21,79.0,58.0,8.71,0.26
89.0,496.5,0.12,88.0,81.81,10.22,0.3
90.0,1135.84,0.2,80.0,59.71,1.55,0.26
91.0,1035.25,0.21,79.0,96.79,2.63,0.25
92.0,630.8,0.15,85.0,83.16,8.4,0.28
93.0,216.0,0.28,72.0,115.73,12.61,0.28
94.0,1214.73,0.12,88.0,58.62,2.06,0.32
994.0,689.67,0.27,73.0,113.77,6.18,0.32
95.0,394.0,0.14,86.0,63.44,11.26,0.28
96.0,959.36,0.13,87.0,49.46,4.82,0.31
97.0,1062.06,0.21,79.0,93.87,2.29,0.26
98.0,145.0,0.23,77.0,62.56,13.82,0.28
99.0,687.11,0.16,84.0,42.36,7.63,0.28
100.0,704.58,0.22,78.0,94.27,6.68,0.26
101.0,844.85,0.21,79.0,120.01,5.04,0.45
102.0,871.17,0.13,87.0,95.68,5.84,0.33
103.0,1079.72,0.19,81.0,64.28,2.44,0.29
104.0,426.0,0.23,77.0,102.54,10.17,0.32
105.0,471.02,0.18,82.0,88.35,10.04,0.31
106.0,532.2,0.17,83.0,90.84,9.38,0.31
107.0,1042.04,0.12,88.0,61.3,4.02,0.33
108.0,836.0,0.22,78.0,54.83,5.0,0.31
109.0,664.92,0.13,87.0,77.72,8.21,0.34
110.0,598.07,0.1,90.0,95.49,9.24,0.31
111.0,479.0,0.13,87.0,73.93,10.34,0.33
112.0,996.94,0.2,80.0,91.03,3.29,0.64
113.0,928.84,0.15,85.0,69.7,4.9,0.35
114.0,824.1,0.23,77.0,117.75,5.0,0.39
115.0,1141.28,0.18,82.0,96.08,1.86,0.37
116.0,812.87,0.16,84.0,44.82,6.13,0.34
117.0,736.08,0.18,82.0,95.3,6.8,0.4
118.0,677.92,0.21,79.0,119.03,7.15,0.45
119.0,845.0,0.13,87.0,48.52,6.14,0.34
120.0,863.86,0.19,81.0,46.06,5.1,0.33
121.0,736.73,0.18,82.0,105.44,6.8,0.33
122.0,1118.64,0.2,80.0,86.14,1.77,0.33
123.0,1051.89,0.25,75.0,40.6,1.64,0.29
124.0,487.0,0.13,87.0,92.56,10.25,0.33
125.0,1205.0,0.13,87.0,34.44,2.0,0.3
126.0,692.36,0.23,77.0,75.88,6.71,0.31
127.0,962.0,0.22,78.0,145.05,3.38,0.31
128.0,1119.96,0.18,82.0,80.55,2.12,0.36
