episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
1,834.91,100,0.108283,8,0,834.91,0.25,75,72.17,4.53,0
2,407.54004,100,0.216328,8,1,407.54,0.24,76,75.5,10.32,0.09
3,766.81,100,0.332281,8,3,766.81,0.18,82,71.95,6.43,0.1
4,843.02,100,0.428964,12,0,843.02,0.21,79,116.57,5.06,0.11
5,700.2,100,0.534149,0,2,700.2,0.15,85,98.48,7.59,0.09
6,262.27002,100,0.633002,0,4,262.27,0.24,76,73.91,12.23,0.1
7,1016,100,0.734506,12,0,1016,0.18,82,83.39,3.39,0.09
8,761,100,0.844919,-1,4,761,0.23,77,65.85,5.82,0.1
9,701,100,0.95702,-1,5,701,0.19,81,62.4,7.11,0.1
10,1063.1101,100,1.064154,14,1,1063.11,0.18,82,83.03,2.82,0.11
11,269.28,100,1.167816,8,1,269.28,0.21,79,104.6,12.33,0.1
12,480.28006,100,1.271874,8,3,480.28,0.19,81,85.42,9.84,0.1
13,611.43,100,1.383024,-1,5,611.43,0.17,83,30.4,8.43,0.1
14,939.66003,100,1.487983,14,1,939.66,0.15,85,74.94,4.77,0.1
15,247,100,1.604745,0,0,247,0.13,87,60.55,13.01,0.1
16,675.5399,100,1.709152,6,4,675.54,0.18,82,56.78,7.54,0.11
17,661.56,100,1.813298,-1,5,661.56,0.24,76,82.27,6.98,0.1
18,733.12,100,1.915651,2.8,4,733.12,0.14,86,74.88,7.31,0.1
19,1039.53,100,2.037512,12,0,1039.53,0.2,80,64.05,2.76,0.1
20,338,100,2.138174,-1,5,338,0.22,78,89.23,11.38,0.12
21,854,100,2.241061,14,0,854,0.16,84,60.79,5.64,0.09
22,907.66003,100,2.356584,8,3,907.66,0.23,77,151.46,3.91,0.1
23,1193.32,100,2.472107,15,2,1193.32,0.16,84,46.01,1.6,0.11
24,698.73,100,2.573946,4.67,4,698.73,0.21,79,45.28,6.89,0.11
25,926,100,2.681909,-1,5,926,0.12,88,63.45,5.34,0.09
26,810.57996,100,2.786216,-1,5,810.58,0.22,78,85.95,5.33,0.1
27,475.20007,100,2.896175,2,4,475.2,0.21,79,73.3,9.72,0.1
28,649.29004,100,3.015792,0,2,649.29,0.24,76,107.38,7.14,0.1
29,1036.7399,100,3.121498,15,2,1036.74,0.22,78,92.37,2.43,0.11
30,672.28,100,3.220837,12,0,672.28,0.19,81,69.79,7.47,0.1
31,474.95996,100,3.326139,-1,5,474.96,0.25,75,101.69,9.33,0.09
32,678.8,100,3.436,-1,5,678.8,0.16,84,90.85,7.73,0.1
33,763.72,100,3.536941,12,2,763.72,0.18,82,84.4,6.47,0.1
