episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,890.34,0.21,79.0,86.96,4.46,0.1
2,598.55,0.21,79.0,76.36,8.16,0.1
3,681.53,0.18,82.0,95.04,7.47,0.09
4,610.28,0.2,80.0,72.92,8.12,0.09
5,248.0,0.16,84.0,61.54,12.86,0.09
6,841.88,0.26,74.0,103.66,4.27,0.1
7,604.6,0.18,82.0,116.39,8.41,0.11
8,865.72,0.14,86.0,73.11,5.77,0.11
9,726.0,0.18,82.0,82.4,6.93,0.11
10,1015.09,0.21,79.0,72.32,2.88,0.1
11,748.0,0.16,84.0,79.86,6.9,0.09
12,941.28,0.28,72.0,166.2,2.54,0.1
13,565.36,0.2,80.0,73.48,8.68,0.1
14,440.08,0.25,75.0,98.76,9.8,0.09
15,902.31,0.3,70.0,91.16,2.68,0.09
16,599.8,0.19,81.0,60.16,8.36,0.09
17,690.99,0.15,85.0,47.41,7.69,0.1
18,68.0,0.12,88.0,89.9,15.09,0.11
19,354.29,0.13,87.0,37.64,11.78,0.1
20,380.08,0.26,74.0,72.5,10.51,0.09
21,478.21,0.18,82.0,55.14,9.95,1.12
22,860.12,0.25,75.0,81.29,4.2,0.1
23,824.0,0.14,86.0,105.51,6.26,0.1
24,1144.17,0.15,85.0,97.72,2.36,0.1
25,729.0,0.18,82.0,97.72,6.89,0.09
26,1027.72,0.13,87.0,147.8,4.04,0.1
27,1028.18,0.1,90.0,81.6,4.46,0.11
28,844.0,0.17,83.0,69.43,5.63,0.1
29,982.46,0.17,83.0,94.52,3.96,0.1
30,954.97,0.19,81.0,73.92,3.98,0.1
31,339.45,0.16,84.0,105.24,11.77,0.09
32,833.34,0.18,82.0,48.65,5.62,0.1
33,728.66,0.21,79.0,76.47,6.51,0.1
34,776.0,0.2,80.0,55.38,6.05,0.09
35,963.49,0.22,78.0,64.0,3.37,0.1
36,702.5,0.15,85.0,48.52,7.56,0.1
37,964.0,0.18,82.0,67.8,4.02,0.1
38,558.75,0.09,91.0,96.42,9.76,0.1
39,262.0,0.1,90.0,80.36,12.98,0.09
40,521.75,0.13,87.0,68.21,9.85,0.1
41,608.64,0.21,79.0,115.6,8.03,1.13
42,810.08,0.15,85.0,71.03,6.29,0.1
43,906.41,0.18,82.0,65.28,4.73,0.09
44,1092.56,0.18,82.0,75.79,2.46,0.1
45,985.29,0.13,87.0,61.42,4.53,0.1
46,664.16,0.17,83.0,55.2,7.79,0.09
47,637.82,0.09,91.0,80.09,8.89,0.1
48,1097.73,0.19,81.0,101.76,2.21,0.09
49,581.0,0.07,93.0,86.86,9.68,0.09
50,1253.45,0.13,87.0,70.18,1.44,0.1
51,569.14,0.14,86.0,101.03,9.22,0.1
52,563.3,0.14,86.0,88.4,9.29,0.1
53,755.08,0.1,90.0,81.22,7.5,0.1
54,617.49,0.19,81.0,37.56,8.14,0.09
55,736.95,0.14,86.0,125.17,7.27,0.09
56,585.61,0.09,91.0,62.48,9.47,0.1
57,920.27,0.1,90.0,79.0,5.66,0.09
58,766.79,0.18,82.0,82.09,6.43,0.11
59,790.39,0.14,86.0,90.86,6.65,0.1
60,507.0,0.09,91.0,32.49,10.33,0.1
61,909.75,0.14,86.0,43.23,5.26,0.09
62,1081.86,0.14,86.0,95.83,3.26,1.11
63,927.4,0.11,89.0,55.06,5.46,0.09
64,1110.42,0.06,94.0,45.91,4.12,0.1
65,932.56,0.15,85.0,61.01,4.85,0.1
66,163.92,0.1,90.0,46.12,14.07,0.1
67,739.61,0.09,91.0,63.94,7.77,0.1
68,943.0,0.09,91.0,61.72,5.54,0.1
69,953.76,0.14,86.0,63.42,4.75,0.1
70,719.94,0.12,88.0,33.01,7.68,0.1
71,758.95,0.13,87.0,89.39,7.13,0.09
72,1117.95,0.09,91.0,75.61,3.62,0.1
73,638.04,0.19,81.0,66.09,7.89,0.09
74,526.74,0.12,88.0,58.18,9.88,0.09
75,902.0,0.1,90.0,22.73,5.87,0.09
76,1137.52,0.15,85.0,68.02,2.44,0.1
77,1081.33,0.1,90.0,50.69,3.87,0.1
78,1082.31,0.07,93.0,59.79,4.29,0.1
79,964.36,0.09,91.0,40.81,5.3,0.12
80,584.15,0.1,90.0,29.83,9.4,0.1
81,1226.35,0.09,91.0,68.28,2.42,0.12
82,275.0,0.13,87.0,51.63,12.69,1.26
83,1237.3,0.08,92.0,81.84,2.46,0.1
84,415.33,0.08,92.0,31.56,11.4,0.09
85,918.57,0.09,91.0,44.65,5.81,0.1
86,925.4,0.04,96.0,56.58,6.32,0.1
87,956.0,0.06,94.0,53.24,5.77,0.1
88,1002.88,0.1,90.0,71.42,4.75,0.1
89,924.12,0.14,86.0,49.64,5.09,0.09
90,1045.11,0.07,93.0,95.68,4.69,0.1
91,1183.9,0.08,92.0,52.41,3.04,0.09
92,261.0,0.11,89.0,39.69,12.94,0.09
93,263.62,0.09,91.0,41.75,13.0,0.1
94,1084.71,0.06,94.0,53.26,4.4,0.09
95,996.7,0.04,96.0,54.21,5.58,0.1
96,541.94,0.07,93.0,81.57,10.1,0.1
97,889.45,0.19,81.0,38.88,4.78,0.1
98,568.17,0.11,89.0,52.11,9.49,0.1
99,1162.58,0.08,92.0,61.14,3.28,0.1
100,665.85,0.07,93.0,30.22,8.76,0.1
101,1338.4,0.08,92.0,65.83,1.37,0.11
102,282.0,0.12,88.0,37.95,12.66,0.09
103,537.34,0.11,89.0,74.5,9.84,1.11
104,383.29,0.08,92.0,59.58,11.75,0.09
105,1252.87,0.07,93.0,32.36,2.45,0.1
106,1135.62,0.11,89.0,46.46,3.12,0.1
107,787.13,0.07,93.0,55.75,7.46,0.1
108,1133.5,0.07,93.0,60.7,3.74,0.09
109,445.0,0.05,95.0,60.3,11.26,0.1
110,401.0,0.07,93.0,49.1,11.61,0.1
111,879.0,0.05,95.0,64.78,6.69,0.1
112,427.0,0.05,95.0,52.96,11.45,0.09
113,756.53,0.04,96.0,35.16,8.08,0.1
114,1154.57,0.13,87.0,71.94,2.58,0.1
115,1154.67,0.05,95.0,46.2,3.79,0.1
116,1001.17,0.02,98.0,53.74,5.76,0.1
117,781.47,0.05,95.0,50.91,7.72,0.1
118,836.0,0.02,98.0,56.36,7.45,0.09
119,592.14,0.06,94.0,70.19,9.64,0.1
120,999.56,0.04,96.0,52.15,5.55,0.1
121,1029.8,0.08,92.0,71.42,4.72,0.1
122,1011.17,0.06,94.0,67.93,5.18,0.09
123,609.07,0.07,93.0,61.5,9.38,1.13
124,1030.22,0.04,96.0,79.84,5.23,0.1
125,528.76,0.05,95.0,62.87,10.38,0.1
126,652.77,0.06,94.0,38.44,8.99,0.1
127,1003.0,0.02,98.0,27.62,5.74,0.1
128,916.0,0.04,96.0,33.93,6.42,0.1
129,1194.0,0.06,94.0,33.87,3.23,0.09
130,888.55,0.02,98.0,61.49,6.91,0.1
131,932.75,0.06,94.0,79.78,6.01,0.09
132,1182.88,0.07,93.0,89.8,3.21,0.1
133,1071.72,0.08,92.0,80.37,4.26,0.13
134,947.86,0.04,96.0,50.68,6.08,0.11
135,961.18,0.06,94.0,78.26,5.71,0.1
136,1154.83,0.04,96.0,62.68,3.93,0.1
137,1102.39,0.04,96.0,63.19,4.48,0.1
