episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,356.18997,100,0.427713,-1,5,356.19,0.59,41,190.06,5.87,0
2,363.98993,100,0.427713,-1,5,363.99,0.58,42,172.68,5.95,0
3,416.55997,100,0.427713,10.33,4,416.56,0.54,46,167.9,5.77,0
4,299.84998,100,0.427713,11.5,4,299.85,0.64,36,162.76,5.89,0
5,368.15,100,0.427713,11.5,4,368.15,0.58,42,153.49,5.85,0
6,294.19998,100,0.427713,-1,5,294.2,0.65,35,174.36,5.74,0
7,346.17996,100,0.427713,9.75,4,346.18,0.59,41,150.96,6.12,0
8,484.8899,100,0.428729,-1,5,484.89,0.48,52,183.51,5.75,0
9,121.44002,100,1.157554,-1,5,121.44,0.5,50,268.18,12.57,0.41
10,67.93999,100,1.157554,1.14,4,67.94,0.52,48,192.05,13.5,0.41
11,120.170006,100,1.157554,2.4,4,120.17,0.49,51,212.89,12.68,0.41
12,479.01996,100,1.157554,-1,5,479.02,0.63,37,216.57,1.35,0.41
13,197.73999,100,1.157554,-1,5,197.74,0.48,52,161.28,11.27,0.41
14,574.02,100,1.157554,-1,5,574.02,0.55,45,143.04,2.02,0.41
15,105.24,100,1.157554,-1,5,105.24,0.56,44,206.5,12.34,0.41
16,173.6,100,1.157554,-1,5,173.6,0.5,50,282.04,11.53,0.41
17,354.83005,100,1.754085,-1,4,354.83,0.51,49,181.85,7.72,0.36
18,425.46,100,1.754085,9.17,4,425.46,0.53,47,275.18,5.82,0.36
19,364.76,100,1.754085,8.57,4,364.76,0.54,46,246.93,6.9,0.36
20,116.51001,100,1.754085,-1,5,116.51,0.55,45,276.37,12.19,0.36
21,-58,100,1.754085,0,4,-58,0.58,42,210.83,16,0.36
22,-15.62,100,1.754085,0,4,-15.62,0.46,54,122.46,15.44,0.36
23,-59,100,1.754085,-1,5,-59,0.59,41,246.09,16,0.36
24,305,100,1.754085,-1,4,305,0.55,45,118.96,8,0.36
25,490.64,100,2.368365,14.8,4,490.64,0.62,38,177.37,1.46,0.31
26,52.43999,100,2.368365,1.33,4,52.44,0.52,48,206.6,13.82,0.31
27,619.79,100,2.368365,-1,5,619.79,0.45,55,225.63,3.91,0.31
28,68.87001,100,2.368365,1.33,4,68.87,0.55,45,208.97,13.25,0.31
29,128.94,100,2.368365,-1,5,128.94,0.59,41,242.21,11.42,0.31
30,451.0699,100,2.368365,9.17,4,451.07,0.5,50,267.48,5.98,0.31
31,98.829994,100,2.368365,6,4,98.83,0.59,41,250.61,12.15,0.31
32,55.5,100,2.368365,2.67,4,55.5,0.51,49,162.35,13.83,0.31
33,37.769993,100,3.117404,-1,5,37.77,0.6,40,183.36,13.56,0.32
34,372.6301,100,3.117404,9.33,4,372.63,0.53,47,245.26,6.94,0.32
35,530.56006,100,3.117404,-1,4,530.56,0.58,42,119.64,1.99,0.32
36,-55,100,3.117404,0,4,-55,0.55,45,223.22,16,0.32
37,348.50995,100,3.117404,9.75,4,348.51,0.6,40,258.04,5.79,0.32
38,217.08002,100,3.117404,-1,5,217.08,0.69,31,277.32,6.77,0.32
39,360.82996,100,3.117404,9,4,360.83,0.58,42,160.62,6.03,0.32
40,-60.36,100,3.117404,-1,5,-60.36,0.68,32,160.17,15.76,0.32
