episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,52.0,0.16,84.0,89.04,5.06,0.14
2,60.0,0.1,90.0,59.52,12.18,0.15
3,58.0,0.13,87.0,61.62,1.72,0.14
4,86.0,0.03,97.0,33.03,14.98,0.15
5,10.0,0.26,74.0,121.14,2.85,0.15
6,82.0,0.03,97.0,48.59,13.95,0.14
7,78.0,0.02,98.0,58.07,8.61,0.17
8,26.0,0.33,67.0,45.8,2.83,0.16
9,92.0,0.04,96.0,23.0,4.66,0.16
10,70.0,0.02,98.0,45.06,15.53,0.13
11,78.0,0.08,92.0,23.5,3.5,0.13
12,96.0,0.01,99.0,33.23,2.34,0.14
13,80.0,0.07,93.0,19.58,1.99,0.13
14,22.0,0.33,67.0,49.55,1.13,0.12
15,66.0,0.01,99.0,67.49,8.11,0.13
16,92.0,0.01,99.0,22.39,15.82,0.13
17,98.0,0.0,100.0,25.47,7.96,0.12
18,34.0,0.28,72.0,69.94,2.08,0.12
19,26.0,0.36,64.0,34.01,1.28,0.12
20,22.0,0.36,64.0,38.57,1.16,0.13
21,90.0,0.05,95.0,25.25,4.61,0.16
22,12.0,0.34,66.0,93.09,1.08,0.15
23,74.0,0.06,94.0,37.71,7.58,0.15
24,74.0,0.03,97.0,62.07,8.9,0.14
25,32.0,0.31,69.0,43.18,1.55,0.13
26,92.0,0.0,100.0,34.71,7.96,0.12
27,78.0,0.03,97.0,50.09,2.18,0.13
28,94.0,0.0,100.0,18.46,8.0,0.13
29,36.0,0.3,70.0,42.95,1.55,0.13
30,96.0,0.0,100.0,21.45,4.19,0.16
31,90.0,0.0,100.0,58.85,4.0,0.14
32,22.0,0.38,62.0,37.31,1.04,0.12
33,90.0,0.0,100.0,48.07,15.93,0.14
34,96.0,0.0,100.0,8.57,16.0,0.14
35,92.0,0.0,100.0,25.96,15.86,0.17
36,70.0,0.07,93.0,36.4,2.1,0.14
37,10.0,0.45,55.0,31.77,1.19,0.13
38,24.0,0.35,65.0,39.99,1.27,0.15
39,88.0,0.01,99.0,27.58,8.13,0.13
40,88.0,0.01,99.0,43.85,15.88,0.13
41,100.0,0.0,100.0,7.45,4.04,0.13
42,96.0,0.0,100.0,16.21,15.96,0.13
43,34.0,0.3,70.0,64.49,1.0,0.12
44,90.0,0.01,99.0,31.94,16.0,0.13
45,96.0,0.01,99.0,29.7,15.89,0.13
46,40.0,0.26,74.0,35.55,1.0,0.12
47,92.0,0.02,98.0,29.74,7.99,0.13
48,84.0,0.03,97.0,44.02,2.0,0.14
49,14.0,0.35,65.0,60.47,1.14,0.13
50,94.0,0.0,100.0,22.67,16.0,0.14
51,90.0,0.0,100.0,28.77,4.06,0.13
52,98.0,0.01,99.0,27.8,16.0,0.12
53,94.0,0.0,100.0,32.14,4.03,0.12
54,92.0,0.0,100.0,29.17,4.09,0.12
55,26.0,0.33,67.0,38.08,1.1,0.12
56,88.0,0.0,100.0,23.19,8.0,0.13
57,84.0,0.0,100.0,42.94,16.0,0.14
58,24.0,0.38,62.0,14.39,1.0,0.12
59,86.0,0.01,99.0,33.21,2.0,0.12
60,100.0,0.0,100.0,7.68,15.98,0.13
61,92.0,0.0,100.0,24.59,4.0,0.12
62,88.0,0.0,100.0,30.32,4.12,0.12
63,96.0,0.0,100.0,25.4,8.0,0.12
64,90.0,0.0,100.0,33.52,16.0,0.13
65,94.0,0.0,100.0,26.32,15.96,0.13
66,58.0,0.18,82.0,28.38,1.0,0.12
67,94.0,0.0,100.0,20.57,4.0,0.13
68,34.0,0.29,71.0,30.92,1.0,0.12
69,100.0,0.0,100.0,11.02,16.0,0.12
70,90.0,0.04,96.0,28.63,2.0,0.12
71,88.0,0.0,100.0,43.69,15.96,0.15
72,90.0,0.0,100.0,30.01,16.0,0.13
73,96.0,0.0,100.0,19.25,4.0,0.13
74,100.0,0.0,100.0,12.41,16.0,0.12
75,80.0,0.03,97.0,35.59,2.0,0.12
76,92.0,0.0,100.0,22.92,8.0,0.12
77,90.0,0.0,100.0,40.69,8.0,0.12
78,90.0,0.0,100.0,45.19,4.0,0.13
79,94.0,0.02,98.0,17.43,2.0,0.12
80,98.0,0.0,100.0,9.81,16.0,0.12
81,88.0,0.0,100.0,24.11,4.0,0.12
82,92.0,0.03,97.0,20.8,2.0,0.13
83,88.0,0.0,100.0,46.19,16.0,0.13
84,84.0,0.0,100.0,35.16,4.0,0.12
85,20.0,0.38,62.0,47.4,1.0,0.11
86,88.0,0.0,100.0,32.49,16.0,0.13
87,94.0,0.03,97.0,18.68,2.0,0.13
88,100.0,0.0,100.0,20.96,4.0,0.12
89,98.0,0.0,100.0,12.87,4.0,0.11
90,100.0,0.0,100.0,16.12,16.0,0.12
91,94.0,0.0,100.0,35.73,16.0,0.12
92,88.0,0.0,100.0,50.27,16.0,0.12
93,80.0,0.0,100.0,46.84,16.0,0.13
