episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,32,100,0.106094,1,0,32,0.25,75,72.17,4.53,0
2,32,100,0.205053,1,1,32,0.24,76,75.5,10.32,0.1
3,56,100,0.310294,1,3,56,0.18,82,71.95,6.43,0.09
4,16,100,0.414169,1,0,16,0.21,79,116.57,5.06,0.1
5,50,100,0.519039,1,2,50,0.15,85,98.48,7.59,0.1
6,36,100,0.624869,1,4,36,0.24,76,73.91,12.23,0.1
7,40,100,0.730057,1,0,40,0.18,82,83.39,3.39,0.1
8,46,100,0.82695,-1,4,46,0.23,77,65.85,5.82,0.1
9,48,100,0.925613,-1,5,48,0.19,81,62.4,7.11,0.09
10,38,100,1.029366,1,1,38,0.18,82,83.03,2.82,0.09
11,32,100,1.147044,1,1,32,0.21,79,104.6,12.33,0.1
12,48,100,1.245047,1,3,48,0.19,81,85.42,9.84,0.11
13,66,100,1.340866,-1,5,66,0.17,83,30.4,8.43,0.09
14,50,100,1.447302,1,1,50,0.15,85,74.94,4.77,0.09
15,58,100,1.554554,1,0,58,0.13,87,60.55,13.01,0.1
16,44,100,1.668309,1,4,44,0.18,82,56.78,7.54,0.1
17,34,100,1.772737,-1,5,34,0.24,76,82.27,6.98,0.11
18,56,100,1.883681,1,4,56,0.14,86,74.88,7.31,0.1
19,36,100,1.98569,1,0,36,0.2,80,64.05,2.76,0.1
20,34,100,2.085751,-1,5,34,0.22,78,89.23,11.38,0.1
21,56,100,2.185316,1,0,56,0.16,84,60.79,5.64,0.09
22,4,100,2.286753,1,3,4,0.23,77,151.46,3.91,0.09
23,66,100,2.400944,1,2,66,0.16,84,46.01,1.6,0.1
24,48,100,2.50031,1,4,48,0.21,79,45.28,6.89,0.11
25,66,100,2.601047,-1,5,66,0.12,88,63.45,5.34,0.09
26,42,100,2.710836,-1,5,42,0.22,78,85.95,5.33,0.09
27,50,100,2.816292,1,4,50,0.21,79,73.3,9.72,0.1
28,24,100,2.914315,1,2,24,0.24,76,107.38,7.14,0.1
29,30,100,3.025921,1,2,30,0.22,78,92.37,2.43,0.09
30,48,100,3.123123,1,0,48,0.19,81,69.79,7.47,0.11
31,30,100,3.226339,-1,5,30,0.25,75,101.69,9.33,0.09
32,40,100,3.326736,-1,5,40,0.16,84,90.85,7.73,0.1
33,40,100,3.427927,1,2,40,0.18,82,84.4,6.47,0.09
34,44,100,3.522539,1,4,44,0.26,74,40.05,7.64,0.1
35,54,100,3.632837,1,0,54,0.15,85,85.39,10.92,0.09
36,46,100,3.747662,1,3,46,0.22,78,62.83,2.69,0.1
37,54,100,3.849461,1,3,54,0.13,87,63.72,11.15,0.11
38,50,100,3.96098,1,2,50,0.18,82,83.16,8.16,0.1
39,24,100,4.065373,1,4,24,0.26,74,97.15,8.79,0.1
40,40,100,4.176343,-1,1,40,0.18,82,74.5,8.31,0.1
41,44,100,4.279053,1,1,44,0.22,78,69.31,10.72,0.1
42,20,100,4.385203,1,1,20,0.26,74,106.86,2.29,0.1
43,46,100,4.485755,1,0,46,0.2,80,72.66,4.16,0.1
44,50,100,4.591907,1,2,50,0.19,81,60.83,2.31,0.09
45,54,100,4.698943,1,2,54,0.2,80,40.19,4.53,0.1
46,50,100,4.794699,1,0,50,0.24,76,29.84,11.05,0.1
47,32,100,4.902393,1,3,32,0.17,83,93.52,10.61,0.09
48,44,100,5.001938,-1,5,44,0.22,78,55.29,8.68,0.1
49,-2,100,5.107699,-1,5,-2,0.27,73,164.7,4.26,0.09
50,54,100,5.218728,1,2,54,0.14,86,72.12,9.5,0.1
