episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,42.0,0.21,79.0,82.83,4.2,0.1
2,56.0,0.19,81.0,33.38,4.73,0.1
3,44.0,0.13,87.0,93.93,14.55,0.1
4,30.0,0.24,76.0,86.7,4.85,0.1
5,60.0,0.19,81.0,36.04,7.07,0.11
6,36.0,0.24,76.0,56.88,7.13,0.1
7,56.0,0.18,82.0,40.96,7.22,0.11
8,48.0,0.15,85.0,64.9,10.68,0.11
9,18.0,0.26,74.0,119.41,4.43,0.11
10,36.0,0.25,75.0,73.74,8.66,0.11
11,16.0,0.25,75.0,128.31,4.4,0.1
12,60.0,0.13,87.0,75.64,9.68,0.1
13,56.0,0.16,84.0,67.27,5.05,0.1
14,4.0,0.3,70.0,110.59,6.0,0.1
15,52.0,0.15,85.0,62.75,5.74,0.1
16,32.0,0.19,81.0,103.3,11.88,0.1
17,50.0,0.19,81.0,84.78,6.27,0.09
18,50.0,0.18,82.0,73.82,8.93,0.11
19,46.0,0.2,80.0,51.52,4.04,0.09
20,40.0,0.14,86.0,87.05,4.37,0.1
21,54.0,0.07,93.0,90.3,6.06,1.21
22,48.0,0.13,87.0,104.5,3.08,0.1
23,64.0,0.11,89.0,88.18,4.53,0.1
24,74.0,0.09,91.0,50.76,5.71,0.1
25,58.0,0.15,85.0,65.18,5.68,0.1
26,64.0,0.09,91.0,68.42,6.81,0.1
27,34.0,0.15,85.0,108.61,7.01,0.1
28,58.0,0.14,86.0,92.75,8.79,0.1
29,54.0,0.13,87.0,80.65,9.72,0.1
30,50.0,0.21,79.0,57.06,1.41,0.1
31,56.0,0.09,91.0,77.37,8.83,0.1
32,46.0,0.1,90.0,108.0,11.54,0.1
33,56.0,0.11,89.0,84.52,11.15,0.1
34,74.0,0.12,88.0,36.48,4.45,0.12
35,34.0,0.13,87.0,121.67,9.89,0.11
36,76.0,0.11,89.0,44.72,3.88,0.1
37,34.0,0.12,88.0,121.52,8.89,0.1
38,58.0,0.13,87.0,64.85,8.66,0.1
39,50.0,0.16,84.0,60.76,2.41,0.1
40,66.0,0.13,87.0,41.11,8.27,0.1
41,4.0,0.17,83.0,130.57,3.22,1.2
42,58.0,0.08,92.0,89.94,2.55,0.1
43,68.0,0.13,87.0,42.98,9.98,0.1
44,64.0,0.09,91.0,85.89,10.21,0.1
45,44.0,0.1,90.0,84.5,11.64,0.1
46,76.0,0.09,91.0,46.37,4.58,0.1
47,58.0,0.07,93.0,81.03,4.7,0.1
48,74.0,0.08,92.0,64.95,7.45,0.1
49,44.0,0.15,85.0,106.14,6.02,0.1
50,62.0,0.04,96.0,76.27,3.04,0.1
51,36.0,0.11,89.0,84.94,8.06,0.1
52,70.0,0.07,93.0,46.97,2.54,0.1
53,30.0,0.09,91.0,126.49,4.7,0.1
54,64.0,0.08,92.0,63.29,4.35,0.1
55,66.0,0.06,94.0,79.52,11.74,0.1
56,54.0,0.09,91.0,97.45,11.08,0.1
57,82.0,0.06,94.0,44.92,4.25,0.1
58,82.0,0.07,93.0,37.62,6.39,0.1
59,64.0,0.09,91.0,69.11,11.25,0.1
60,74.0,0.08,92.0,32.94,8.93,0.09
61,80.0,0.04,96.0,58.16,9.82,0.1
62,62.0,0.06,94.0,77.6,7.78,1.18
63,64.0,0.06,94.0,61.54,1.86,0.1
64,72.0,0.05,95.0,65.46,6.61,0.1
65,76.0,0.01,99.0,52.4,2.14,0.1
66,70.0,0.09,91.0,56.43,3.22,0.1
67,78.0,0.05,95.0,50.08,14.87,0.1
68,74.0,0.09,91.0,46.71,11.99,0.1
69,48.0,0.09,91.0,87.56,8.58,0.1
70,68.0,0.04,96.0,64.01,8.57,0.1
71,72.0,0.05,95.0,57.83,8.08,0.1
72,74.0,0.06,94.0,49.99,8.24,0.1
73,58.0,0.08,92.0,65.11,9.72,0.09
74,80.0,0.04,96.0,62.91,2.34,0.1
75,70.0,0.07,93.0,85.7,7.11,0.1
76,70.0,0.05,95.0,70.98,10.57,0.1
77,42.0,0.14,86.0,92.93,4.31,0.09
78,82.0,0.03,97.0,32.66,9.88,0.09
79,60.0,0.09,91.0,87.41,4.62,0.1
80,52.0,0.09,91.0,92.01,9.39,0.1
81,60.0,0.07,93.0,73.51,8.42,0.1
82,72.0,0.08,92.0,50.34,8.47,1.19
83,80.0,0.04,96.0,54.78,7.86,0.1
84,88.0,0.04,96.0,41.15,8.21,0.1
85,68.0,0.05,95.0,82.09,11.28,0.1
86,78.0,0.06,94.0,44.57,7.65,0.1
87,66.0,0.05,95.0,75.69,7.6,0.1
88,72.0,0.05,95.0,65.31,10.57,0.1
89,58.0,0.08,92.0,73.42,4.16,0.1
90,70.0,0.07,93.0,73.53,8.27,0.1
91,68.0,0.06,94.0,72.37,8.16,0.11
92,88.0,0.03,97.0,38.99,10.39,0.1
93,56.0,0.06,94.0,74.81,8.13,0.1
94,62.0,0.11,89.0,58.92,6.49,0.1
95,74.0,0.02,98.0,64.3,5.84,0.1
96,56.0,0.06,94.0,84.62,4.19,0.1
97,84.0,0.04,96.0,47.09,6.06,0.1
98,84.0,0.06,94.0,32.98,3.81,0.1
99,66.0,0.03,97.0,74.87,6.73,0.1
100,74.0,0.05,95.0,61.44,3.45,0.11
101,86.0,0.06,94.0,43.35,11.53,0.1
102,72.0,0.07,93.0,55.83,10.87,0.1
103,82.0,0.05,95.0,49.43,1.43,1.18
104,70.0,0.07,93.0,58.22,11.78,0.09
105,92.0,0.0,100.0,42.36,5.75,0.1
106,88.0,0.02,98.0,42.11,5.9,0.1
107,80.0,0.07,93.0,70.9,7.69,0.1
108,96.0,0.0,100.0,50.14,12.76,0.1
109,78.0,0.02,98.0,70.54,6.91,0.11
110,42.0,0.08,92.0,106.53,12.43,0.1
111,78.0,0.03,97.0,49.94,13.19,0.1
112,80.0,0.03,97.0,56.23,3.58,0.1
113,88.0,0.05,95.0,25.65,4.15,0.1
114,76.0,0.03,97.0,56.04,8.63,0.1
115,84.0,0.0,100.0,62.44,3.11,0.1
116,88.0,0.02,98.0,45.2,8.54,0.1
117,84.0,0.04,96.0,54.64,9.47,0.1
118,76.0,0.01,99.0,76.15,4.89,0.1
119,76.0,0.04,96.0,69.9,7.54,0.1
120,68.0,0.05,95.0,55.31,6.7,0.1
121,84.0,0.02,98.0,64.44,4.29,0.1
122,84.0,0.03,97.0,44.29,8.8,0.1
123,68.0,0.08,92.0,51.05,8.04,1.19
124,88.0,0.04,96.0,35.39,5.54,0.1
125,74.0,0.02,98.0,56.11,8.76,0.1
126,80.0,0.04,96.0,48.91,7.21,0.1
127,84.0,0.06,94.0,37.25,7.13,0.1
128,82.0,0.04,96.0,44.96,9.42,0.11
129,68.0,0.05,95.0,69.34,4.31,0.1
130,92.0,0.01,99.0,45.07,2.57,0.1
131,86.0,0.01,99.0,64.66,8.58,0.1
132,80.0,0.02,98.0,41.67,8.2,0.1
133,74.0,0.02,98.0,73.29,8.95,0.1
134,80.0,0.02,98.0,46.28,9.12,0.11
135,78.0,0.05,95.0,44.93,5.8,0.1
136,84.0,0.03,97.0,37.38,9.44,0.09
137,72.0,0.05,95.0,48.8,7.35,0.1
138,72.0,0.01,99.0,57.68,6.01,0.1
139,78.0,0.04,96.0,40.03,10.31,0.1
140,98.0,0.01,99.0,25.15,7.5,0.1
141,88.0,0.05,95.0,44.31,11.54,0.1
142,86.0,0.04,96.0,46.13,9.98,0.1
143,90.0,0.03,97.0,33.09,3.61,0.1
144,88.0,0.01,99.0,45.41,8.57,1.18
145,76.0,0.01,99.0,45.08,5.62,0.1
146,84.0,0.02,98.0,48.04,5.63,0.11
147,82.0,0.02,98.0,62.97,5.08,0.09
148,64.0,0.03,97.0,91.12,8.85,0.1
149,80.0,0.02,98.0,61.16,2.98,0.1
150,62.0,0.07,93.0,66.75,11.1,0.1
151,80.0,0.02,98.0,70.83,8.45,0.1
152,86.0,0.0,100.0,43.53,9.42,0.1
153,72.0,0.02,98.0,68.54,9.3,0.1
154,78.0,0.03,97.0,57.25,1.26,0.1
155,98.0,0.0,100.0,28.49,3.62,0.1
156,70.0,0.03,97.0,69.0,7.21,0.1
