episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
1,40.0,0.18,82.0,84.92,0.28
1,28.0,0.2,80.0,125.12,0.28
1,36.0,0.22,78.0,71.57,0.28
1,42.0,0.17,83.0,96.12,0.28
1,46.0,0.18,82.0,75.18,0.29
2,34.0,0.25,75.0,94.15,0.3
,30.0,0.23,77.0,96.56,0.3
2,58.0,0.15,85.0,57.56,0.3
3,30.0,0.24,76.0,65.46,0.3


3,24.0,0.24,76.0,83.02,0.3

4,38.0,0.19,81.0,75.18,0.3
4,38.0,0.23,77.0,72.66,0.3
4,42.0,0.23,77.0,55.72,0.3
4,48.0,0.16,84.0,75.52,0.3
4,44.0,0.15,85.0,83.16,0.3
5,54.0,0.16,84.0,49.42,0.26
5,26.0,0.21,79.0,116.01,0.26
5,30.0,0.22,78.0,103.79,0.26
5,52.0,0.13,87.0,89.25,0.26
5,50.0,0.21,79.0,73.23,0.26
6,40.0,0.2,80.0,66.14,0.29

6,54.0,0.19,81.0,43.55,0.29
7,34.0,0.27,73.0,51.32,0.33
7,-4.0,0.39,61.0,121.06,0.33
8,40.0,0.28,72.0,39.49,0.43
8,56.0,0.21,79.0,39.83,0.43
8,28.0,0.29,71.0,64.54,0.43
9,34.0,0.2,80.0,97.21,0.38

,38.0,0.23,77.0,96.44,0.38
9,40.0,0.24,76.0,71.52,0.38
9,48.0,0.26,74.0,41.35,0.38
10,56.0,0.18,82.0,43.97,0.36
0,22.0,0.27,73.0,103.24,0.36
11,22.0,0.28,72.0,86.93,0.36

11,26.0,0.22,78.0,108.05,0.36
12,32.0,0.17,83.0,80.78,0.34
12,32.0,0.28,72.0,66.71,0.34
12,48.0,0.2,80.0,46.5,0.34
12,46.0,0.22,78.0,70.66,0.34
12,44.0,0.23,77.0,73.3,0.34
12,36.0,0.19,81.0,97.53,0.34
12,44.0,0.17,83.0,50.04,0.34
13,54.0,0.21,79.0,38.82,0.28

14,26.0,0.18,82.0,110.76,0.28
14,46.0,0.16,84.0,94.58,0.28
14,14.0,0.3,70.0,116.05,0.28
15,46.0,0.25,75.0,54.59,0.28
15,50.0,0.24,76.0,72.36,0.28
15,32.0,0.18,82.0,94.58,0.28
15,18.0,0.24,76.0,117.73,0.28
15,40.0,0.2,80.0,69.05,0.28
16,40.0,0.17,83.0,83.0,0.26

116,50.0,0.19,81.0,62.92,0.26
17,22.0,0.31,69.0,88.79,0.24
17,20.0,0.24,76.0,93.77,0.24
17,56.0,0.19,81.0,49.54,0.24
17,20.0,0.23,77.0,105.92,0.24
17,66.0,0.16,84.0,32.47,0.24
17,20.0,0.27,73.0,96.63,0.24
17,52.0,0.13,87.0,80.47,0.24
17,28.0,0.26,74.0,71.15,0.24
18,26.0,0.32,68.0,86.58,0.25
18,46.0,0.23,77.0,41.06,0.24
18,28.0,0.2,80.0,85.46,0.24
18,28.0,0.33,67.0,60.25,0.24
18,56.0,0.19,81.0,62.51,0.24
18,46.0,0.25,75.0,35.41,0.24
18,56.0,0.18,82.0,50.21,0.24
19,30.0,0.2,80.0,96.36,0.25

19,42.0,0.22,78.0,65.52,0.25
19,54.0,0.2,80.0,39.79,0.25
19,42.0,0.23,77.0,50.99,0.25
19,34.0,0.2,80.0,79.72,0.25
19,36.0,0.22,78.0,78.4,0.25
20,64.0,0.12,88.0,54.09,0.25
20,34.0,0.2,80.0,112.29,0.25
20,66.0,0.13,87.0,79.58,0.25
20,60.0,0.13,87.0,69.01,0.25
20,18.0,0.29,71.0,80.43,0.25
20,12.0,0.21,79.0,126.66,0.25
20,38.0,0.19,81.0,77.2,0.25
20,38.0,0.18,82.0,89.65,0.25
21,68.0,0.12,88.0,50.1,8.45

21,68.0,0.1,90.0,53.16,8.45
21,68.0,0.14,86.0,33.61,8.45
21,70.0,0.12,88.0,68.64,8.45
21,44.0,0.22,78.0,85.91,8.45
22,70.0,0.08,92.0,57.24,0.25
22,68.0,0.06,94.0,63.01,0.25
22,68.0,0.11,89.0,61.09,0.25
22,56.0,0.13,87.0,73.48,0.25
22,64.0,0.13,87.0,51.53,0.25
22,60.0,0.14,86.0,77.05,0.25
22,66.0,0.06,94.0,58.36,0.25
23,84.0,0.07,93.0,24.92,0.26
23,58.0,0.11,89.0,93.19,0.26
23,64.0,0.1,90.0,73.47,0.26
23,78.0,0.08,92.0,39.56,0.26
23,50.0,0.08,92.0,89.89,0.27
23,40.0,0.11,89.0,111.81,0.26
24,82.0,0.08,92.0,26.71,0.26
