episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,-48,100,0.464242,-1,5,-48,0.59,41,190.06,5.87,0
2,-36,100,0.464242,-1,5,-36,0.58,42,172.68,5.95,0
3,-32,100,0.464242,-1,4,-32,0.54,46,167.9,5.77,0
4,-48,100,0.464242,1,4,-48,0.64,36,162.76,5.89,0
5,-36,100,0.464242,-1,4,-36,0.58,42,153.49,5.85,0
6,-62,100,0.464242,-1,5,-62,0.65,35,174.36,5.74,0
7,-34,100,0.464242,1,4,-34,0.59,41,150.96,6.12,0
8,-36,100,0.464242,-1,5,-36,0.48,52,183.51,5.75,0
9,-80,100,1.181067,-1,5,-80,0.45,55,252.08,11.02,0.38
10,-34,100,1.181067,1,4,-34,0.46,54,180.39,11.34,0.38
11,40,100,1.181067,1,0,40,0.26,74,64.45,6.39,0.39
12,-18,100,1.181067,-1,5,-18,0.43,57,131.6,1.52,0.39
13,28,100,1.181067,1,0,28,0.35,65,63.55,4.7,0.39
14,32,100,1.181067,-1,5,32,0.29,71,78.34,2.22,0.38
15,-42,100,1.181067,-1,5,-42,0.5,50,193.29,11.44,0.39
16,-78,100,1.181067,-1,5,-78,0.48,52,239.64,9.68,0.38
17,-30,100,1.8408,-1,0,-30,0.48,52,143.63,2.5,0.31
18,22,100,1.8408,1,2,22,0.33,67,71.74,7.63,0.31
19,-36,100,1.8408,-1,2,-36,0.42,58,189.83,6.58,0.31
20,-78,100,1.8408,-1,5,-78,0.5,50,230.95,10.68,0.31
21,-22,100,1.8408,1,4,-22,0.43,57,165.28,6.15,0.31
22,-46,100,1.8408,1,4,-46,0.34,66,210.4,11.04,0.31
23,6,100,1.8408,1,2,6,0.39,61,86.3,6.18,0.31
24,-32,100,1.8408,1,0,-32,0.43,57,175.34,8.16,0.31
25,40,100,2.436012,1,3,40,0.28,72,34.47,5.64,0.3
26,2,100,2.436012,1,4,2,0.4,60,111.42,5.48,0.3
27,34,100,2.436012,1,3,34,0.27,73,59.23,5.07,0.3
28,42,100,2.436012,1,4,42,0.24,76,53.96,5.34,0.3
29,24,100,2.436012,1,1,24,0.32,68,77.04,7.47,0.3
30,-22,100,2.436012,-1,4,-22,0.42,58,171.36,6.91,0.3
31,-32,100,2.436012,-1,4,-32,0.5,50,155.91,9.95,0.3
32,4,100,2.436012,1,2,4,0.33,67,140.91,4.26,0.3
33,-28,100,3.051224,-1,5,-28,0.39,61,189.03,9.95,0.29
34,-12,100,3.051224,1,4,-12,0.4,60,129.62,1.81,0.29
35,14,100,3.051224,1,4,14,0.29,71,115.08,1.83,0.29
36,24,100,3.051224,1,4,24,0.23,77,115.16,2.83,0.29
37,-32,100,3.051224,1,3,-32,0.37,63,163.16,10.88,0.29
38,6,100,3.051224,1,2,6,0.36,64,124.93,7.34,0.29
39,-52,100,3.051224,-1,4,-52,0.47,53,183.95,7.76,0.29
40,-42,100,3.051224,-1,5,-42,0.58,42,143.72,10.12,0.29
41,-38,100,3.682539,-1,0,-38,0.48,52,187.62,10.98,0.28
42,26,100,3.682539,1,0,26,0.29,71,85.36,3.36,0.28
43,-16,100,3.682539,-1,4,-16,0.39,61,156.56,3.85,0.28
44,44,100,3.682539,1,1,44,0.2,80,82.55,3.89,0.28
45,-16,100,3.682539,-1,5,-16,0.5,50,113.92,11.92,0.28
46,16,100,3.682539,1,3,16,0.34,66,103.1,6.55,0.28
