episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,60.0,0.1,90.0,59.87,4.78,0.12
2,82.0,0.08,92.0,73.8,15.11,0.12
3,50.0,0.14,86.0,59.0,3.03,0.12
4,60.0,0.13,87.0,106.14,9.78,0.13
5,44.0,0.24,76.0,132.68,4.04,0.13
6,70.0,0.1,90.0,62.74,4.43,0.13
7,94.0,0.03,97.0,77.57,7.2,0.14
8,58.0,0.12,88.0,39.9,3.55,0.12
9,90.0,0.04,96.0,63.2,9.27,0.13
10,60.0,0.05,95.0,71.25,6.26,0.12
11,80.0,0.03,97.0,51.75,4.18,0.13
12,90.0,0.05,95.0,44.64,9.89,0.13
13,54.0,0.2,80.0,67.21,3.59,0.13
14,62.0,0.12,88.0,50.46,3.52,0.12
15,56.0,0.05,95.0,46.82,3.24,0.12
16,90.0,0.01,99.0,51.85,9.16,0.12
17,92.0,0.01,99.0,36.26,5.37,0.12
18,48.0,0.21,79.0,73.1,2.09,0.11
19,80.0,0.06,94.0,31.01,10.23,0.12
20,92.0,0.02,98.0,54.66,7.31,0.12
21,94.0,0.01,99.0,39.28,7.27,0.12
22,56.0,0.05,95.0,71.55,1.92,0.12
23,84.0,0.02,98.0,43.19,6.31,0.12
24,24.0,0.29,71.0,42.39,4.19,0.11
25,90.0,0.0,100.0,30.64,4.17,0.13
26,66.0,0.14,86.0,34.16,9.23,0.12
27,94.0,0.0,100.0,62.7,8.84,0.13
28,62.0,0.11,89.0,71.77,4.39,0.13
29,76.0,0.08,92.0,64.43,5.91,0.13
30,84.0,0.06,94.0,75.35,3.66,0.12
31,96.0,0.02,98.0,33.76,4.88,0.12
32,36.0,0.24,76.0,37.65,1.75,0.11
33,58.0,0.05,95.0,23.74,2.0,0.12
34,22.0,0.22,78.0,88.9,1.79,0.11
35,18.0,0.24,76.0,59.36,3.87,0.11
36,38.0,0.16,84.0,47.16,2.9,0.11
37,66.0,0.04,96.0,36.56,3.5,0.12
38,96.0,0.0,100.0,29.66,7.76,0.12
39,72.0,0.0,100.0,38.07,4.12,0.11
40,86.0,0.01,99.0,36.35,13.04,0.11
41,84.0,0.06,94.0,37.87,7.49,0.12
42,46.0,0.03,97.0,61.06,2.96,0.12
43,28.0,0.28,72.0,74.13,1.23,0.11
44,26.0,0.25,75.0,49.85,1.01,0.11
45,36.0,0.23,77.0,41.92,3.18,0.11
46,90.0,0.01,99.0,34.78,13.45,0.12
47,28.0,0.29,71.0,64.71,5.44,0.11
48,68.0,0.02,98.0,21.63,2.67,0.13
49,96.0,0.02,98.0,33.86,11.72,0.12
50,100.0,0.0,100.0,48.44,12.08,0.12
51,82.0,0.02,98.0,54.81,4.26,0.12
52,60.0,0.13,87.0,60.51,9.64,0.12
53,76.0,0.04,96.0,33.56,2.07,0.12
54,100.0,0.0,100.0,32.09,11.61,0.12
55,66.0,0.15,85.0,101.56,6.17,0.11
56,56.0,0.2,80.0,71.77,5.03,0.11
57,70.0,0.11,89.0,47.05,6.7,0.12
58,96.0,0.02,98.0,33.35,3.98,0.12
59,82.0,0.01,99.0,27.32,2.8,0.12
60,24.0,0.22,78.0,43.87,1.62,0.11
61,100.0,0.0,100.0,34.46,15.62,0.13
62,100.0,0.0,100.0,44.09,4.5,0.12
63,58.0,0.02,98.0,42.32,4.86,0.12
64,56.0,0.08,92.0,55.13,3.64,0.12
65,100.0,0.0,100.0,51.53,4.31,0.12
66,10.0,0.32,68.0,38.03,1.52,0.11
67,72.0,0.03,97.0,45.05,7.2,0.12
68,98.0,0.01,99.0,29.36,7.52,0.13
