episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
1,56.0,0.16,84.0,73.82,0.25
1.0,20.0,0.31,69.0,67.32,0.25
1.0,54.0,0.17,83.0,102.17,0.25
1.0,42.0,0.22,78.0,81.14,0.25
1.0,38.0,0.24,76.0,89.75,0.25
2.0,56.0,0.17,83.0,58.09,0.25
2.0,24.0,0.22,78.0,58.71,0.26
2.0,48.0,0.21,79.0,95.24,0.26
3.0,50.0,0.18,82.0,81.54,0.25
3.0,48.0,0.19,81.0,60.98,0.25
3.0,24.0,0.26,74.0,97.1,0.25
3.0,26.0,0.23,77.0,67.87,0.25
4.0,58.0,0.17,83.0,68.19,0.24
4.0,30.0,0.29,71.0,69.69,0.24
4.0,48.0,0.17,83.0,51.27,0.24
4.0,40.0,0.23,77.0,85.49,0.24
4.0,42.0,0.24,76.0,89.63,0.24
5.0,32.0,0.22,78.0,69.3,0.24
5.0,30.0,0.27,73.0,96.34,0.24
5.0,58.0,0.19,81.0,43.73,0.24
5.0,34.0,0.24,76.0,49.81,0.24
6.0,56.0,0.18,82.0,77.77,0.25
6.0,42.0,0.22,78.0,39.07,0.24
6.0,60.0,0.16,84.0,56.21,0.24
6.0,40.0,0.28,72.0,99.92,0.24
6.0,38.0,0.25,75.0,63.94,0.24
7.0,26.0,0.22,78.0,100.35,0.37
7.0,34.0,0.27,73.0,53.47,0.3
7.0,28.0,0.24,76.0,41.73,0.3
7.0,36.0,0.24,76.0,117.2,0.3
7.0,38.0,0.2,80.0,107.33,0.3
8.0,40.0,0.2,80.0,61.47,0.26
8.0,40.0,0.22,78.0,73.09,0.26
8.0,10.0,0.37,63.0,44.25,0.26
9.0,22.0,0.31,69.0,102.45,0.28
9.0,50.0,0.18,82.0,82.6,0.28
9.0,44.0,0.23,77.0,63.88,0.28
9.0,44.0,0.22,78.0,123.68,0.28
9.0,14.0,0.3,70.0,89.53,0.28
9.0,62.0,0.16,84.0,79.44,0.28
10.0,24.0,0.2,80.0,80.14,0.25
10.0,26.0,0.28,72.0,67.81,0.26
10.0,40.0,0.2,80.0,85.6,0.26
10.0,42.0,0.23,77.0,113.38,0.25
10.0,44.0,0.21,79.0,90.83,0.25
10.0,22.0,0.28,72.0,97.13,0.25
11.0,46.0,0.22,78.0,94.89,0.24
11.0,26.0,0.29,71.0,103.41,0.25
11.0,26.0,0.21,79.0,91.4,0.24
11.0,30.0,0.26,74.0,99.07,0.24
12.0,22.0,0.22,78.0,66.71,0.24
12.0,40.0,0.25,75.0,72.01,0.24
12.0,26.0,0.23,77.0,79.61,0.24
13.0,32.0,0.25,75.0,83.3,0.25
13.0,20.0,0.3,70.0,75.88,0.24
13.0,32.0,0.25,75.0,84.31,0.24
13.0,46.0,0.24,76.0,112.17,0.24
13.0,22.0,0.3,70.0,104.7,0.24
14.0,56.0,0.18,82.0,58.62,0.28
14.0,50.0,0.23,77.0,92.56,0.28
14.0,60.0,0.18,82.0,102.51,0.28
15.0,50.0,0.21,79.0,74.56,0.29
15.0,36.0,0.24,76.0,112.59,0.29
15.0,40.0,0.21,79.0,103.38,0.29
15.0,58.0,0.15,85.0,112.26,0.29
15.0,20.0,0.3,70.0,75.86,0.29
15.0,16.0,0.3,70.0,46.19,0.29
16.0,42.0,0.22,78.0,86.93,0.28
16.0,22.0,0.28,72.0,165.24,0.28
16.0,34.0,0.28,72.0,118.59,0.28
16.0,20.0,0.29,71.0,95.23,0.28
16.0,50.0,0.21,79.0,119.44,0.28
17.0,38.0,0.27,73.0,60.51,0.25
17.0,54.0,0.15,85.0,90.52,0.25
17.0,30.0,0.23,77.0,72.36,0.25
17.0,46.0,0.16,84.0,63.59,0.25
17.0,26.0,0.19,81.0,95.09,0.25
18.0,44.0,0.18,82.0,72.34,0.22
18.0,42.0,0.22,78.0,63.94,0.22
18.0,44.0,0.17,83.0,54.86,0.22
18.0,30.0,0.21,79.0,75.65,0.22
18.0,50.0,0.24,76.0,124.65,0.22
18.0,70.0,0.14,86.0,54.79,0.22
19.0,52.0,0.16,84.0,70.02,0.23
19.0,46.0,0.23,77.0,69.32,0.23
19.0,54.0,0.2,80.0,45.66,0.23
20.0,38.0,0.18,82.0,82.71,0.26
20.0,56.0,0.2,80.0,62.85,0.26
20.0,44.0,0.19,81.0,108.84,0.26
20.0,54.0,0.15,85.0,68.54,0.26
20.0,48.0,0.22,78.0,72.83,0.26
20.0,58.0,0.15,85.0,54.7,0.26
21.0,50.0,0.21,79.0,75.82,0.29
21.0,40.0,0.22,78.0,88.56,0.29
21.0,64.0,0.15,85.0,81.84,0.29
21.0,60.0,0.17,83.0,59.08,0.29
21.0,20.0,0.21,79.0,55.31,0.29
22.0,32.0,0.27,73.0,85.01,0.28
22.0,20.0,0.26,74.0,97.52,0.28
22.0,42.0,0.22,78.0,71.1,0.28
22.0,42.0,0.17,83.0,114.78,0.28
23.0,36.0,0.24,76.0,54.01,0.28
23.0,32.0,0.26,74.0,71.17,0.28
23.0,54.0,0.17,83.0,61.41,0.28
23.0,42.0,0.22,78.0,75.22,0.28
