episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
1,30,100,0.118521,1,0,30,0.25,75,72.17,4.53,0
2,50,100,0.223882,1,1,50,0.24,76,75.5,10.32,0.1
3,60,100,0.333891,1,3,60,0.18,82,71.95,6.43,0.1
4,48,100,0.434837,1,0,48,0.21,79,116.57,5.06,0.1
5,52,100,0.563375,1,2,52,0.15,85,98.48,7.59,0.09
6,48,100,0.664257,1,4,48,0.24,76,73.91,12.23,0.12
7,56,100,0.767824,1,0,56,0.18,82,83.39,3.39,0.09
8,52,100,0.870986,-1,4,52,0.23,77,65.85,5.82,0.1
9,56,100,0.979416,-1,5,56,0.19,81,62.4,7.11,0.1
10,42,100,1.090226,1,1,42,0.18,82,83.03,2.82,0.1
11,52,100,1.195946,1,1,52,0.21,79,104.6,12.33,0.1
12,58,100,1.299839,1,3,58,0.19,81,85.42,9.84,0.1
13,62,100,1.400679,-1,5,62,0.17,83,30.4,8.43,0.1
14,54,100,1.518311,1,1,54,0.15,85,74.94,4.77,0.1
15,70,100,1.639389,1,0,70,0.13,87,60.55,13.01,0.11
16,52,100,1.763199,1,4,52,0.18,82,56.78,7.54,0.12
17,36,100,1.884698,-1,5,36,0.24,76,82.27,6.98,0.12
18,62,100,2.000429,1,4,62,0.14,86,74.88,7.31,0.12
19,42,100,2.109612,1,0,42,0.2,80,64.05,2.76,0.11
20,50,100,2.216075,-1,5,50,0.22,78,89.23,11.38,0.1
21,60,100,2.31797,1,0,60,0.16,84,60.79,5.64,0.1
22,32,100,2.427088,1,3,32,0.23,77,151.46,3.91,0.1
23,56,100,2.543349,1,2,56,0.16,84,46.01,1.6,0.1
24,48,100,2.664085,1,4,48,0.21,79,45.28,6.89,0.11
25,70,100,2.774634,-1,5,70,0.12,88,63.45,5.34,0.11
26,30,100,2.87591,-1,5,30,0.22,78,85.95,5.33,0.1
27,48,100,2.990345,1,4,48,0.21,79,73.3,9.72,0.1
28,44,100,3.096174,1,2,44,0.24,76,107.38,7.14,0.1
29,40,100,3.202133,1,2,40,0.22,78,92.37,2.43,0.1
30,56,100,3.308506,1,0,56,0.19,81,69.79,7.47,0.1
31,44,100,3.410315,-1,5,44,0.25,75,101.69,9.33,0.1
32,56,100,3.512953,-1,5,56,0.16,84,90.85,7.73,0.09
33,64,100,3.624709,1,2,64,0.18,82,84.4,6.47,0.1
34,40,100,3.739558,1,4,40,0.26,74,40.05,7.64,0.1
35,70,100,3.860127,1,0,70,0.15,85,85.39,10.92,0.11
36,38,100,3.972622,-1,3,38,0.22,78,62.83,2.69,0.11
37,68,100,4.085265,1,3,68,0.13,87,63.72,11.15,0.11
38,52,100,4.19804,1,2,52,0.18,82,83.16,8.16,0.1
39,40,100,4.307932,1,4,40,0.26,74,97.15,8.79,0.11
40,36,100,4.427557,1,1,36,0.18,82,74.5,8.31,0.1
41,48,100,4.539273,1,1,48,0.22,78,69.31,10.72,0.11
42,36,100,4.657925,1,1,36,0.26,74,106.86,2.29,0.1
43,42,100,4.771268,1,0,42,0.2,80,72.66,4.16,0.11
44,32,100,4.883171,1,2,32,0.19,81,60.83,2.31,0.11
45,44,100,4.983293,1,2,44,0.2,80,40.19,4.53,0.1
46,38,100,5.093338,1,0,38,0.24,76,29.84,11.05,0.1
47,66,100,5.204715,1,3,66,0.17,83,93.52,10.61,0.1
48,52,100,5.308093,-1,5,52,0.22,78,55.29,8.68,0.1
49,32,100,5.417434,-1,5,32,0.27,73,164.7,4.26,0.1
50,66,100,5.529733,1,2,66,0.14,86,72.12,9.5,0.1
51,42,100,5.643935,-1,5,42,0.25,75,99.08,10.43,0.1
52,66,100,5.770839,1,1,66,0.15,85,91.38,9.28,0.11
53,36,100,5.88876,1,4,36,0.3,70,106.96,10.36,0.12
54,62,100,6.001753,-1,5,62,0.17,83,53.99,8.05,0.11
55,50,100,6.112459,1,2,50,0.24,76,78.38,9.29,0.11
56,52,100,6.218725,-1,5,52,0.21,79,131.8,10.91,0.1
57,44,100,6.323388,1,4,44,0.26,74,40.98,8.67,0.1
58,44,100,6.430136,-1,0,44,0.18,82,43.33,4.41,0.1
59,48,100,6.559318,1,4,48,0.24,76,90.66,12.68,0.1
60,44,100,6.671485,1,3,44,0.26,74,44.84,8.16,0.12
61,42,100,6.790481,-1,5,42,0.24,76,119.21,5.08,0.11
62,60,100,6.914981,-1,5,60,0.17,83,51.35,10.17,0.11
63,30,100,7.029022,1,2,30,0.23,77,94.87,2.52,0.12
64,54,100,7.139049,1,3,54,0.21,79,68.66,8.52,0.11
65,42,100,7.247756,1,0,42,0.24,76,83.25,3.27,0.1
66,46,100,7.360234,1,3,46,0.19,81,54.2,4.47,0.1
67,46,100,7.468164,-1,5,46,0.23,77,73.79,10.51,0.11
68,56,100,7.579572,1,2,56,0.19,81,92.59,8.86,0.1
69,50,100,7.693578,1,4,50,0.24,76,106.32,9.6,0.11
70,66,100,7.821589,1,4,66,0.15,85,65.21,10.14,0.11
71,54,100,7.933527,-1,5,54,0.19,81,44.99,11.01,0.12
72,56,100,8.053613,1,2,56,0.16,84,68.78,4.99,0.11
73,56,100,8.166189,1,1,56,0.21,79,118.34,10.98,0.11
74,62,100,8.282588,1,0,62,0.17,83,65.01,6.49,0.11
75,58,100,8.396663,1,4,58,0.15,85,60.06,9.39,0.11
76,54,100,8.511796,-1,5,54,0.17,83,67.92,6.68,0.11
77,36,100,8.628831,1,0,36,0.26,74,65.77,4.42,0.11
78,42,100,8.746732,1,0,42,0.23,77,105.36,2.71,0.11
79,56,100,8.859833,1,1,56,0.22,78,54.46,8,0.11
80,70,100,8.970479,-1,5,70,0.13,87,102.24,9.77,0.11
81,42,100,9.08628,1,1,42,0.22,78,67.45,4.63,0.1
82,74,100,9.201027,1,3,74,0.12,88,94.1,9.72,0.11
83,60,100,9.315281,1,1,60,0.16,84,25.99,4.55,0.11
84,40,100,9.425481,-1,5,40,0.27,73,119.86,8.38,0.11
85,50,100,9.549264,1,2,50,0.19,81,63.65,6.53,0.1
86,70,100,9.674295,-1,5,70,0.12,88,38.69,7.93,0.12
87,46,100,9.793271,1,3,46,0.18,82,74.47,10.54,0.12
88,40,100,9.915533,-1,5,40,0.28,72,57.15,4.45,0.11
89,46,100,10.039094,1,1,46,0.22,78,98.79,6.42,0.12
90,62,100,10.160913,1,1,62,0.19,81,68.59,10.51,0.12
91,72,100,10.281605,1,0,72,0.14,86,62.92,10.1,0.11
92,52,100,10.392027,1,4,52,0.19,81,81.45,6.17,0.11
93,34,100,10.501664,-1,2,34,0.22,78,108.09,6.3,0.1
94,62,100,10.625121,1,0,62,0.15,85,58.56,3.3,0.1
95,62,100,10.747623,-1,5,62,0.13,87,72.19,8.84,0.12
96,52,100,10.870719,-1,5,52,0.23,77,45.99,9.77,0.11
97,64,100,10.98668,1,1,64,0.12,88,105.3,6.78,0.12
98,62,100,11.123369,1,2,62,0.15,85,40.02,6.21,0.11
99,52,100,11.265917,1,3,52,0.19,81,56.22,9.38,0.13
100,40,100,11.390386,1,3,40,0.25,75,63.84,7.86,0.13
101,62,100,11.574123,1,4,62,0.13,87,92.95,4.95,0.12
102,50,100,11.773535,1,2,50,0.18,82,126.32,9.61,0.18
103,74,100,11.964064,1,1,74,0.13,87,95.12,9.26,0.19
104,46,100,12.156653,1,1,46,0.2,80,83.98,8.3,0.18
105,46,100,12.344099,1,4,46,0.19,81,103.48,7.34,0.18
106,40,100,12.544062,-1,0,40,0.25,75,165.52,8.42,0.17
107,64,100,12.736403,1,4,64,0.18,82,179.55,11.12,0.18
108,62,100,12.939665,1,3,62,0.15,85,109.5,9.39,0.18
109,56,100,13.114964,1,3,56,0.19,81,83.42,12.44,0.19
110,38,100,13.302199,-1,5,38,0.23,77,67.02,7.01,0.16
111,52,100,13.490948,1,2,52,0.23,77,63.03,10.92,0.17
