episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,40.0,0.19,81.0,66.38,4.09,0.1
2,56.0,0.19,81.0,105.8,7.54,0.1
3,64.0,0.15,85.0,64.55,13.48,0.1
4,58.0,0.16,84.0,48.88,8.22,0.1
5,32.0,0.19,81.0,57.88,4.21,0.11
6,72.0,0.12,88.0,41.14,4.89,0.12
7,60.0,0.17,83.0,61.41,8.62,0.11
8,46.0,0.24,76.0,30.82,2.33,0.11
9,42.0,0.23,77.0,112.19,11.46,0.11
10,54.0,0.2,80.0,104.64,7.29,0.12
11,54.0,0.18,82.0,70.22,9.08,0.11
12,48.0,0.21,79.0,68.44,8.35,0.1
13,52.0,0.23,77.0,65.27,8.01,0.1
14,48.0,0.22,78.0,80.95,8.76,0.11
15,68.0,0.13,87.0,97.43,6.62,0.1
16,40.0,0.26,74.0,84.88,2.43,0.11
17,44.0,0.25,75.0,115.42,4.97,0.09
18,56.0,0.16,84.0,49.55,9.57,0.11
19,56.0,0.21,79.0,67.6,8.85,0.11
20,62.0,0.16,84.0,76.94,4.0,0.11
21,44.0,0.19,81.0,141.83,3.89,1.15
22,46.0,0.19,81.0,51.74,10.79,0.1
23,80.0,0.09,91.0,53.04,6.07,0.11
24,66.0,0.17,83.0,54.97,12.68,0.1
25,44.0,0.19,81.0,42.67,8.78,0.1
26,70.0,0.1,90.0,85.1,12.89,0.11
27,74.0,0.08,92.0,125.35,9.51,0.11
28,76.0,0.12,88.0,92.45,13.64,0.1
29,78.0,0.07,93.0,111.68,5.33,0.1
30,54.0,0.16,84.0,77.94,9.17,0.1
31,80.0,0.06,94.0,71.51,12.08,0.11
32,74.0,0.12,88.0,72.54,11.49,0.1
33,70.0,0.12,88.0,46.82,11.01,0.1
34,68.0,0.14,86.0,50.67,8.35,0.1
35,38.0,0.22,78.0,36.42,4.56,0.1
36,52.0,0.16,84.0,70.81,5.9,0.1
37,72.0,0.1,90.0,110.33,12.89,0.11
38,66.0,0.12,88.0,127.16,8.37,0.1
39,66.0,0.12,88.0,84.97,10.82,0.11
40,70.0,0.14,86.0,100.46,8.51,0.1
41,76.0,0.11,89.0,94.17,10.15,1.14
42,76.0,0.08,92.0,42.84,11.63,0.1
43,50.0,0.14,86.0,63.95,3.95,0.1
44,70.0,0.14,86.0,56.5,12.15,0.11
45,62.0,0.16,84.0,36.62,8.68,0.1
