episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
1,-18,100,0.34975,-1,5,-18,0.59,41,190.06,5.87,0
2,-16,100,0.34975,-1,5,-16,0.58,42,172.68,5.95,0
3,-8,100,0.34975,1,4,-8,0.54,46,167.9,5.77,0
4,-28,100,0.34975,1,4,-28,0.64,36,162.76,5.89,0
5,-16,100,0.350747,1,4,-16,0.58,42,153.49,5.85,0
6,-30,100,0.350747,-1,5,-30,0.65,35,174.36,5.74,0
7,-18,100,0.350747,1,4,-18,0.59,41,150.96,6.12,0
8,4,100,0.352747,-1,5,4,0.48,52,183.51,5.75,0
9,36,100,1.046764,1,1,36,0.28,72,178.79,7.46,0.32
10,4,100,1.046764,-1,4,4,0.47,53,168.44,9.83,0.32
11,42,100,1.046764,1,4,42,0.24,76,74.84,6.34,0.32
12,-4,100,1.046764,-1,5,-4,0.41,59,89.24,1.58,0.32
13,18,100,1.046764,1,0,18,0.36,64,87.28,5.35,0.32
14,26,100,1.046764,-1,5,26,0.36,64,86.81,2.15,0.32
15,-4,100,1.046764,-1,5,-4,0.51,49,184.89,11.38,0.32
16,8,100,1.046764,-1,2,8,0.41,59,182.88,7.07,0.32
17,18,100,1.68653,1,4,18,0.35,65,199.86,2.92,0.3
18,10,100,1.68653,1,4,10,0.43,57,150.51,5.83,0.3
19,16,100,1.68653,1,4,16,0.42,58,106.75,15.03,0.3
20,0,100,1.68653,-1,5,0,0.47,53,163.53,2.74,0.3
21,-12,100,1.68653,-1,3,-12,0.51,49,167.4,7.08,0.3
22,16,100,1.68653,1,4,16,0.41,59,181.11,11.26,0.3
23,32,100,1.68653,1,2,32,0.31,69,91.38,4.17,0.3
24,26,100,1.68653,-1,0,26,0.35,65,46.82,9.82,0.3
25,52,100,2.300995,-1,3,52,0.22,78,44.39,3.37,0.31
26,18,100,2.300995,1,4,18,0.41,59,130.28,11.15,0.31
27,26,100,2.300995,1,3,26,0.36,64,109.06,10.12,0.31
28,10,100,2.300995,1,4,10,0.45,55,193.65,7,0.31
29,40,100,2.300995,1,1,40,0.25,75,75.16,7.29,0.31
30,12,100,2.300995,1,0,12,0.44,56,183.58,7.5,0.31
31,10,100,2.300995,1,4,10,0.43,57,133.41,5.63,0.31
32,-20,100,2.300995,-1,4,-20,0.6,40,239.78,15.16,0.31
33,18,100,2.92507,-1,5,18,0.4,60,126.76,4.41,0.3
34,12,100,2.92507,1,1,12,0.39,61,123.1,1.82,0.3
35,26,100,2.92507,1,4,26,0.28,72,50.46,7.06,0.3
36,16,100,2.92507,-1,4,16,0.39,61,203.2,11.67,0.3
37,52,100,2.92507,1,3,52,0.21,79,116.76,4.46,0.3
38,26,100,2.92507,1,2,26,0.27,73,78.92,4.6,0.3
39,30,100,2.92507,1,4,30,0.31,69,125.62,6.09,0.3
40,18,100,2.92507,-1,5,18,0.41,59,88.72,10.02,0.3
41,24,100,3.512545,1,0,24,0.38,62,232.07,11.12,0.29
42,66,100,3.512545,1,0,66,0.17,83,62.97,12.05,0.29
43,40,100,3.512545,1,1,40,0.25,75,85.38,3.82,0.29
44,52,100,3.512545,-1,1,52,0.19,81,31.36,5.89,0.29
45,20,100,3.512545,-1,5,20,0.33,67,40.05,8.35,0.29
