episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
1.0,-4.0,0.52,48.0,234.51,0.41
1.0,-28.0,0.63,37.0,224.59,0.41
2.0,40.0,0.24,76.0,39.59,0.41
2.0,-12.0,0.55,45.0,278.89,0.41
2.0,20.0,0.36,64.0,82.85,0.41
3.0,34.0,0.29,71.0,44.51,0.33
33.0,6.0,0.45,55.0,262.14,0.33
3.0,24.0,0.34,66.0,132.02,0.33
4.0,10.0,0.41,59.0,53.3,0.29
4.0,24.0,0.36,64.0,187.21,0.29
4.0,38.0,0.23,77.0,78.41,0.29
5.0,18.0,0.33,67.0,62.7,0.29
5.0,50.0,0.19,81.0,59.98,0.29
5.0,26.0,0.33,67.0,159.88,0.29
5.0,12.0,0.39,61.0,104.42,0.29
6.0,12.0,0.31,69.0,115.59,0.3
6.0,48.0,0.18,82.0,65.32,0.3
6.0,16.0,0.26,74.0,54.7,0.3
7.0,10.0,0.34,66.0,74.15,0.31
7.0,38.0,0.28,72.0,83.57,0.31
8.0,22.0,0.32,68.0,67.09,0.3
8.0,28.0,0.3,70.0,126.96,0.29
8.0,58.0,0.17,83.0,39.3,0.29
9.0,0.0,0.36,64.0,183.2,0.29
9.0,52.0,0.16,84.0,64.63,0.29
10.0,42.0,0.24,76.0,111.87,0.27
10.0,42.0,0.26,74.0,72.15,0.27
0.0,32.0,0.26,74.0,81.39,0.27
11.0,38.0,0.28,72.0,86.85,0.3
11.0,56.0,0.18,82.0,78.71,0.3
11.0,62.0,0.14,86.0,59.15,0.3
12.0,34.0,0.27,73.0,71.61,0.3
12.0,46.0,0.22,78.0,76.07,0.3
12.0,16.0,0.35,65.0,70.92,0.3
13.0,54.0,0.14,86.0,22.71,0.27
13.0,46.0,0.21,79.0,80.71,0.27
14.0,64.0,0.1,90.0,55.96,0.26
14.0,64.0,0.15,85.0,52.24,0.26
14.0,70.0,0.1,90.0,85.68,0.26
14.0,32.0,0.25,75.0,72.33,0.26
15.0,42.0,0.18,82.0,38.22,0.28
115.0,46.0,0.18,82.0,90.53,0.28
16.0,40.0,0.2,80.0,61.19,0.29
16.0,12.0,0.28,72.0,126.2,0.29
